district,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot,Tot_Tot_total
Box Hill,436.0,619.0,1095.0,90.0,141.0,276.0,128.0,324.0,526.0,92.0,509.0,634.0,357.0,1190.0,1623.0,369.0,972.0,1371.0,942.0,697.0,1625.0,971.0,826.0,1829.0,1223.0,894.0,2079.0,1356.0,708.0,2140.0,1061.0,544.0,1630.0,1072.0,449.0,1573.0,2388.0,909.0,3293.0,1850.0,85.0,1992.0,1684.0,200.0,1923.0,1295.0,31.0,1356.0,4899.0,296.0,5179.0,1087.0,143.0,1316.0,92.0,185.0,402.0,21709.0,10492.0,32279.0,32279.0
Brighton,178.0,279.0,495.0,34.0,65.0,158.0,30.0,167.0,226.0,15.0,309.0,385.0,122.0,770.0,902.0,114.0,606.0,784.0,354.0,464.0,898.0,340.0,598.0,1061.0,527.0,726.0,1289.0,761.0,675.0,1379.0,599.0,621.0,1235.0,567.0,583.0,1227.0,1480.0,1049.0,2533.0,1261.0,60.0,1356.0,1305.0,294.0,1659.0,924.0,34.0,963.0,7181.0,755.0,7933.0,1024.0,77.0,1132.0,139.0,151.0,333.0,17345.0,8831.0,26133.0,26133.0
Broadmeadows,325.0,344.0,703.0,49.0,56.0,191.0,93.0,241.0,421.0,91.0,624.0,799.0,443.0,1491.0,1934.0,551.0,611.0,1184.0,1435.0,398.0,1919.0,1328.0,622.0,1927.0,1514.0,532.0,2077.0,1573.0,465.0,2058.0,1170.0,450.0,1627.0,1122.0,305.0,1548.0,2259.0,537.0,2863.0,1681.0,83.0,1824.0,1328.0,86.0,1468.0,835.0,40.0,904.0,1722.0,153.0,1980.0,987.0,97.0,1127.0,290.0,282.0,609.0,19187.0,8172.0,27312.0,27312.0
Brunswick,73.0,291.0,373.0,11.0,79.0,108.0,16.0,263.0,340.0,19.0,579.0,649.0,119.0,1070.0,1245.0,75.0,696.0,843.0,514.0,648.0,1206.0,441.0,832.0,1327.0,547.0,1084.0,1623.0,773.0,1043.0,1868.0,569.0,1206.0,1828.0,683.0,1023.0,1701.0,1793.0,1935.0,3761.0,1543.0,423.0,1963.0,1650.0,587.0,2223.0,1205.0,194.0,1480.0,4759.0,1062.0,5805.0,618.0,747.0,1329.0,31.0,122.0,217.0,15838.0,14273.0,30195.0,30195.0
Bulleen,427.0,313.0,835.0,138.0,66.0,273.0,99.0,183.0,299.0,66.0,315.0,472.0,406.0,901.0,1362.0,347.0,565.0,941.0,1131.0,415.0,1578.0,1003.0,556.0,1603.0,1184.0,559.0,1766.0,1337.0,381.0,1737.0,1013.0,325.0,1418.0,1083.0,300.0,1373.0,2310.0,458.0,2796.0,1760.0,28.0,1829.0,1623.0,105.0,1743.0,1089.0,7.0,1098.0,4122.0,167.0,4366.0,1082.0,45.0,1200.0,178.0,146.0,405.0,20858.0,6535.0,27380.0,27380.0
Bundoora,154.0,280.0,526.0,34.0,30.0,115.0,51.0,176.0,273.0,53.0,341.0,470.0,312.0,1095.0,1419.0,297.0,570.0,954.0,920.0,504.0,1456.0,920.0,545.0,1494.0,1096.0,595.0,1672.0,1244.0,455.0,1807.0,1016.0,468.0,1494.0,1014.0,315.0,1395.0,2219.0,523.0,2758.0,2003.0,56.0,2074.0,1696.0,106.0,1834.0,1154.0,24.0,1202.0,2879.0,86.0,2983.0,909.0,104.0,1073.0,133.0,156.0,393.0,18537.0,6998.0,25517.0,25517.0
Carrum,144.0,230.0,431.0,25.0,54.0,117.0,57.0,134.0,212.0,17.0,384.0,431.0,195.0,1131.0,1395.0,254.0,712.0,1039.0,886.0,472.0,1385.0,823.0,556.0,1430.0,1132.0,739.0,1868.0,1335.0,632.0,1901.0,1169.0,514.0,1728.0,1274.0,348.0,1688.0,2895.0,559.0,3505.0,2534.0,25.0,2597.0,1876.0,65.0,1966.0,1192.0,8.0,1227.0,2532.0,67.0,2673.0,1003.0,30.0,1064.0,180.0,238.0,515.0,19955.0,7462.0,27429.0,27429.0
Caulfield,153.0,374.0,647.0,47.0,100.0,167.0,20.0,201.0,281.0,18.0,473.0,546.0,148.0,935.0,1102.0,137.0,726.0,909.0,430.0,591.0,1122.0,485.0,837.0,1386.0,714.0,1094.0,1807.0,882.0,1009.0,1823.0,602.0,874.0,1612.0,722.0,714.0,1560.0,1896.0,1388.0,3317.0,1573.0,145.0,1773.0,1537.0,381.0,1985.0,1137.0,40.0,1279.0,5691.0,593.0,6422.0,929.0,190.0,1136.0,169.0,194.0,445.0,17698.0,11449.0,29317.0,29317.0
Clarinda,244.0,248.0,629.0,30.0,80.0,128.0,57.0,150.0,264.0,76.0,400.0,561.0,253.0,1148.0,1472.0,312.0,583.0,1002.0,1118.0,332.0,1546.0,992.0,516.0,1552.0,1260.0,455.0,1719.0,1348.0,298.0,1694.0,1099.0,227.0,1405.0,1180.0,196.0,1439.0,2510.0,372.0,2834.0,1917.0,50.0,2005.0,1523.0,57.0,1657.0,1098.0,28.0,1138.0,2540.0,98.0,2701.0,998.0,81.0,1134.0,141.0,131.0,382.0,19176.0,6229.0,25372.0,25372.0
Cranbourne,133.0,129.0,362.0,11.0,24.0,40.0,9.0,46.0,104.0,7.0,232.0,300.0,240.0,711.0,1031.0,287.0,422.0,791.0,994.0,307.0,1314.0,1084.0,457.0,1590.0,1324.0,579.0,1995.0,1845.0,446.0,2282.0,1556.0,351.0,1946.0,1708.0,223.0,1945.0,3844.0,284.0,4217.0,2740.0,31.0,2807.0,1792.0,22.0,1871.0,982.0,8.0,1023.0,1570.0,39.0,1698.0,1212.0,45.0,1294.0,188.0,157.0,421.0,21960.0,5252.0,27260.0,27260.0
Croydon,149.0,252.0,441.0,47.0,41.0,122.0,29.0,172.0,206.0,35.0,408.0,538.0,219.0,1258.0,1581.0,295.0,836.0,1219.0,961.0,645.0,1617.0,976.0,701.0,1786.0,1204.0,705.0,1971.0,1441.0,570.0,2033.0,1136.0,483.0,1695.0,1211.0,293.0,1543.0,2865.0,570.0,3430.0,2395.0,43.0,2484.0,1816.0,60.0,1923.0,1216.0,4.0,1240.0,2673.0,82.0,2836.0,1051.0,52.0,1151.0,144.0,211.0,446.0,20294.0,8023.0,28355.0,28355.0
Dandenong,331.0,367.0,767.0,60.0,57.0,132.0,113.0,258.0,469.0,115.0,647.0,860.0,490.0,1672.0,2162.0,489.0,762.0,1358.0,1583.0,462.0,2091.0,1511.0,803.0,2324.0,1727.0,737.0,2481.0,1916.0,511.0,2555.0,1472.0,404.0,1894.0,1384.0,245.0,1698.0,2751.0,376.0,3152.0,1804.0,89.0,1952.0,1164.0,80.0,1308.0,698.0,46.0,807.0,1120.0,285.0,1397.0,1173.0,100.0,1413.0,251.0,252.0,580.0,20774.0,8954.0,29731.0,29731.0
Eildon,138.0,225.0,398.0,43.0,39.0,138.0,28.0,191.0,272.0,42.0,459.0,593.0,353.0,1345.0,1636.0,262.0,698.0,1018.0,1060.0,461.0,1590.0,1015.0,589.0,1608.0,1275.0,624.0,1887.0,1395.0,329.0,1801.0,992.0,316.0,1396.0,1136.0,206.0,1426.0,2467.0,231.0,2666.0,1616.0,10.0,1635.0,1232.0,24.0,1321.0,691.0,0.0,720.0,1798.0,63.0,1916.0,1346.0,35.0,1421.0,231.0,247.0,571.0,17503.0,6941.0,24502.0,24502.0
Eltham,138.0,99.0,303.0,31.0,25.0,86.0,29.0,88.0,147.0,18.0,154.0,196.0,107.0,570.0,767.0,128.0,398.0,592.0,551.0,329.0,941.0,598.0,320.0,995.0,848.0,297.0,1247.0,1077.0,258.0,1381.0,823.0,229.0,1095.0,904.0,190.0,1155.0,2108.0,312.0,2519.0,1908.0,7.0,1947.0,1928.0,39.0,1984.0,1377.0,0.0,1408.0,4679.0,69.0,4798.0,998.0,3.0,1049.0,110.0,69.0,249.0,18801.0,4350.0,23126.0,23126.0
Essendon,137.0,293.0,448.0,31.0,82.0,135.0,55.0,249.0,404.0,41.0,574.0,665.0,166.0,1006.0,1259.0,173.0,667.0,828.0,589.0,528.0,1116.0,557.0,851.0,1437.0,800.0,1030.0,1774.0,844.0,978.0,1816.0,658.0,844.0,1605.0,771.0,731.0,1548.0,1795.0,1262.0,3104.0,1652.0,146.0,1805.0,1520.0,344.0,1892.0,1125.0,49.0,1247.0,5388.0,441.0,5856.0,812.0,168.0,1021.0,135.0,186.0,414.0,17758.0,10863.0,28589.0,28589.0
