district,census_variable,value,rank
Sandringham,A_0_4_y_Indig_stat_ns_F,5.0,1.0
Hawthorn,A_0_4_y_Indig_stat_ns_F,7.0,2.0
Kew,A_0_4_y_Indig_stat_ns_F,8.0,3.0
Rowville,A_0_4_y_Indig_stat_ns_F,12.0,4.0
Mordialloc,A_0_4_y_Indig_stat_ns_F,13.0,5.0
Brighton,A_0_4_y_Indig_stat_ns_F,14.0,6.0
Northcote,A_0_4_y_Indig_stat_ns_F,15.0,7.0
Eltham,A_0_4_y_Indig_stat_ns_F,16.0,8.0
Box Hill,A_0_4_y_Indig_stat_ns_F,17.0,9.0
Bellarine,A_0_4_y_Indig_stat_ns_F,18.0,10.0
Brunswick,A_0_4_y_Indig_stat_ns_F,18.0,11.0
Ripon,A_0_4_y_Indig_stat_ns_F,18.0,12.0
Bulleen,A_0_4_y_Indig_stat_ns_F,19.0,13.0
Bentleigh,A_0_4_y_Indig_stat_ns_F,20.0,14.0
Prahran,A_0_4_y_Indig_stat_ns_F,20.0,15.0
Glen Waverley,A_0_4_y_Indig_stat_ns_F,22.0,16.0
Ivanhoe,A_0_4_y_Indig_stat_ns_F,22.0,17.0
Pascoe Vale,A_0_4_y_Indig_stat_ns_F,22.0,18.0
Ringwood,A_0_4_y_Indig_stat_ns_F,22.0,19.0
Croydon,A_0_4_y_Indig_stat_ns_F,23.0,20.0
Mornington,A_0_4_y_Indig_stat_ns_F,23.0,21.0
Bundoora,A_0_4_y_Indig_stat_ns_F,25.0,22.0
Evelyn,A_0_4_y_Indig_stat_ns_F,25.0,23.0
Footscray,A_0_4_y_Indig_stat_ns_F,25.0,24.0
Sunbury,A_0_4_y_Indig_stat_ns_F,25.0,25.0
Caulfield,A_0_4_y_Indig_stat_ns_F,27.0,26.0
Ovens Valley,A_0_4_y_Indig_stat_ns_F,27.0,27.0
Macedon,A_0_4_y_Indig_stat_ns_F,28.0,28.0
South Barwon,A_0_4_y_Indig_stat_ns_F,28.0,29.0
Warrandyte,A_0_4_y_Indig_stat_ns_F,28.0,30.0
Ashwood,A_0_4_y_Indig_stat_ns_F,29.0,31.0
Benambra,A_0_4_y_Indig_stat_ns_F,29.0,32.0
Essendon,A_0_4_y_Indig_stat_ns_F,29.0,33.0
Niddrie,A_0_4_y_Indig_stat_ns_F,29.0,34.0
Bendigo West,A_0_4_y_Indig_stat_ns_F,30.0,35.0
Clarinda,A_0_4_y_Indig_stat_ns_F,30.0,36.0
Oakleigh,A_0_4_y_Indig_stat_ns_F,31.0,37.0
Bayswater,A_0_4_y_Indig_stat_ns_F,32.0,38.0
Geelong,A_0_4_y_Indig_stat_ns_F,32.0,39.0
Hastings,A_0_4_y_Indig_stat_ns_F,33.0,40.0
Mill Park,A_0_4_y_Indig_stat_ns_F,33.0,41.0
Monbulk,A_0_4_y_Indig_stat_ns_F,34.0,42.0
Williamstown,A_0_4_y_Indig_stat_ns_F,35.0,43.0
Albert Park,A_0_4_y_Indig_stat_ns_F,36.0,44.0
Malvern,A_0_4_y_Indig_stat_ns_F,36.0,45.0
Sydenham,A_0_4_y_Indig_stat_ns_F,36.0,46.0
Mulgrave,A_0_4_y_Indig_stat_ns_F,39.0,47.0
Lowan,A_0_4_y_Indig_stat_ns_F,41.0,48.0
Polwarth,A_0_4_y_Indig_stat_ns_F,41.0,49.0
Carrum,A_0_4_y_Indig_stat_ns_F,45.0,50.0
Narre Warren North,A_0_4_y_Indig_stat_ns_F,47.0,51.0
Preston,A_0_4_y_Indig_stat_ns_F,47.0,52.0
Wendouree,A_0_4_y_Indig_stat_ns_F,47.0,53.0
Thomastown,A_0_4_y_Indig_stat_ns_F,48.0,54.0
Gippsland East,A_0_4_y_Indig_stat_ns_F,49.0,55.0
Richmond,A_0_4_y_Indig_stat_ns_F,50.0,56.0
Greenvale,A_0_4_y_Indig_stat_ns_F,52.0,57.0
Eildon,A_0_4_y_Indig_stat_ns_F,54.0,58.0
Yan Yean,A_0_4_y_Indig_stat_ns_F,54.0,59.0
Berwick,A_0_4_y_Indig_stat_ns_F,56.0,60.0
Nepean,A_0_4_y_Indig_stat_ns_F,56.0,61.0
Bass,A_0_4_y_Indig_stat_ns_F,57.0,62.0
South-West Coast,A_0_4_y_Indig_stat_ns_F,60.0,63.0
Mildura,A_0_4_y_Indig_stat_ns_F,62.0,64.0
Narracan,A_0_4_y_Indig_stat_ns_F,62.0,65.0
Bendigo East,A_0_4_y_Indig_stat_ns_F,63.0,66.0
Euroa,A_0_4_y_Indig_stat_ns_F,64.0,67.0
Melbourne,A_0_4_y_Indig_stat_ns_F,66.0,68.0
Murray Plains,A_0_4_y_Indig_stat_ns_F,67.0,69.0
Lara,A_0_4_y_Indig_stat_ns_F,68.0,70.0
Frankston,A_0_4_y_Indig_stat_ns_F,71.0,71.0
Eureka,A_0_4_y_Indig_stat_ns_F,81.0,72.0
Pakenham,A_0_4_y_Indig_stat_ns_F,85.0,73.0
Gippsland South,A_0_4_y_Indig_stat_ns_F,89.0,74.0
Kororoit,A_0_4_y_Indig_stat_ns_F,91.0,75.0
Shepparton,A_0_4_y_Indig_stat_ns_F,91.0,76.0
Kalkallo,A_0_4_y_Indig_stat_ns_F,94.0,77.0
Point Cook,A_0_4_y_Indig_stat_ns_F,94.0,78.0
Narre Warren South,A_0_4_y_Indig_stat_ns_F,102.0,79.0
St Albans,A_0_4_y_Indig_stat_ns_F,103.0,80.0
Morwell,A_0_4_y_Indig_stat_ns_F,105.0,81.0
Cranbourne,A_0_4_y_Indig_stat_ns_F,110.0,82.0
Laverton,A_0_4_y_Indig_stat_ns_F,114.0,83.0
Werribee,A_0_4_y_Indig_stat_ns_F,114.0,84.0
Melton,A_0_4_y_Indig_stat_ns_F,122.0,85.0
Broadmeadows,A_0_4_y_Indig_stat_ns_F,128.0,86.0
Dandenong,A_0_4_y_Indig_stat_ns_F,140.0,87.0
Tarneit,A_0_4_y_Indig_stat_ns_F,140.0,88.0
Hawthorn,A_0_4_y_Indig_stat_ns_F_pc,0.0001,1.0
Kew,A_0_4_y_Indig_stat_ns_F_pc,0.0001,2.0
Sandringham,A_0_4_y_Indig_stat_ns_F_pc,0.0001,3.0
Box Hill,A_0_4_y_Indig_stat_ns_F_pc,0.0002,4.0
Brighton,A_0_4_y_Indig_stat_ns_F_pc,0.0002,5.0
Eltham,A_0_4_y_Indig_stat_ns_F_pc,0.0002,6.0
Mordialloc,A_0_4_y_Indig_stat_ns_F_pc,0.0002,7.0
Northcote,A_0_4_y_Indig_stat_ns_F_pc,0.0002,8.0
Rowville,A_0_4_y_Indig_stat_ns_F_pc,0.0002,9.0
Bellarine,A_0_4_y_Indig_stat_ns_F_pc,0.0003,10.0
Bentleigh,A_0_4_y_Indig_stat_ns_F_pc,0.0003,11.0
Brunswick,A_0_4_y_Indig_stat_ns_F_pc,0.0003,12.0
Bulleen,A_0_4_y_Indig_stat_ns_F_pc,0.0003,13.0
Croydon,A_0_4_y_Indig_stat_ns_F_pc,0.0003,14.0
Footscray,A_0_4_y_Indig_stat_ns_F_pc,0.0003,15.0
Glen Waverley,A_0_4_y_Indig_stat_ns_F_pc,0.0003,16.0
Ivanhoe,A_0_4_y_Indig_stat_ns_F_pc,0.0003,17.0
Oakleigh,A_0_4_y_Indig_stat_ns_F_pc,0.0003,18.0
Pascoe Vale,A_0_4_y_Indig_stat_ns_F_pc,0.0003,19.0
Prahran,A_0_4_y_Indig_stat_ns_F_pc,0.0003,20.0
Ringwood,A_0_4_y_Indig_stat_ns_F_pc,0.0003,21.0
Ripon,A_0_4_y_Indig_stat_ns_F_pc,0.0003,22.0
Ashwood,A_0_4_y_Indig_stat_ns_F_pc,0.0004,23.0
Bayswater,A_0_4_y_Indig_stat_ns_F_pc,0.0004,24.0
Benambra,A_0_4_y_Indig_stat_ns_F_pc,0.0004,25.0
Bundoora,A_0_4_y_Indig_stat_ns_F_pc,0.0004,26.0
Caulfield,A_0_4_y_Indig_stat_ns_F_pc,0.0004,27.0
Clarinda,A_0_4_y_Indig_stat_ns_F_pc,0.0004,28.0
Essendon,A_0_4_y_Indig_stat_ns_F_pc,0.0004,29.0
Evelyn,A_0_4_y_Indig_stat_ns_F_pc,0.0004,30.0
Geelong,A_0_4_y_Indig_stat_ns_F_pc,0.0004,31.0
Macedon,A_0_4_y_Indig_stat_ns_F_pc,0.0004,32.0
Mornington,A_0_4_y_Indig_stat_ns_F_pc,0.0004,33.0
Niddrie,A_0_4_y_Indig_stat_ns_F_pc,0.0004,34.0
Ovens Valley,A_0_4_y_Indig_stat_ns_F_pc,0.0004,35.0
South Barwon,A_0_4_y_Indig_stat_ns_F_pc,0.0004,36.0
Sunbury,A_0_4_y_Indig_stat_ns_F_pc,0.0004,37.0
Warrandyte,A_0_4_y_Indig_stat_ns_F_pc,0.0004,38.0
Albert Park,A_0_4_y_Indig_stat_ns_F_pc,0.0005,39.0
Bendigo West,A_0_4_y_Indig_stat_ns_F_pc,0.0005,40.0
Hastings,A_0_4_y_Indig_stat_ns_F_pc,0.0005,41.0
Mill Park,A_0_4_y_Indig_stat_ns_F_pc,0.0005,42.0
Monbulk,A_0_4_y_Indig_stat_ns_F_pc,0.0005,43.0
Mulgrave,A_0_4_y_Indig_stat_ns_F_pc,0.0005,44.0
