district,SH_FHs_CF_no_C,SH_FHs_CF_no_C_pc,SH_FHs_CF_C,SH_FHs_CF_C_pc,SH_FHs_OnePF,SH_FHs_OnePF_pc,SH_FHs_Oth_fam,SH_FHs_Oth_fam_pc,SH_FHs_Tot,SH_FHs_Tot_pc,SH_Lone_P_H,SH_Lone_P_H_pc,SH_Group_H,SH_Group_H_pc,SH_Tot,SH_Tot_pc,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_no_C_pc,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_CF_C_pc,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_OnePF_pc,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Oth_fam_pc,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_FHs_Tot_pc,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Lone_P_H_pc,SDRTHT_1_S_Group_H,SDRTHT_1_S_Group_H_pc,SDRTHT_1_S_Tot,SDRTHT_1_S_Tot_pc,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_no_C_pc,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_CF_C_pc,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_OnePF_pc,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Oth_fam_pc,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_FHs_Tot_pc,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Lone_P_H_pc,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Group_H_pc,SDRTHT_2more_S_Tot,SDRTHT_2more_S_Tot_pc,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_no_C_pc,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_CF_C_pc,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_OnePF_pc,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Oth_fam_pc,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_FHs_Tot_pc,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Lone_P_H_pc,SDRTHT_Tot_Group_H,SDRTHT_Tot_Group_H_pc,SDRTHT_Tot_Tot,SDRTHT_Tot_Tot_pc,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_no_C_pc,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_CF_C_pc,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_OnePF_pc,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Oth_fam_pc,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_FHs_Tot_pc,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Lone_P_H_pc,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Group_H_pc,FoA_1_or_2_SB_Tot,FoA_1_or_2_SB_Tot_pc,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_no_C_pc,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_CF_C_pc,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_OnePF_pc,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Oth_fam_pc,FoA_3SB_FHs_Tot,FoA_3SB_FHs_Tot_pc,FoA_3SB_Lone_P_H,FoA_3SB_Lone_P_H_pc,FoA_3SB_Group_H,FoA_3SB_Group_H_pc,FoA_3SB_Tot,FoA_3SB_Tot_pc,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_no_C_pc,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_CF_C_pc,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_OnePF_pc,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Oth_fam_pc,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_FHs_Tot_pc,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Lone_P_H_pc,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Group_H_pc,FoA_4_to_8_SB_Tot,FoA_4_to_8_SB_Tot_pc,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_no_C_pc,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_CF_C_pc,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_OnePF_pc,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Oth_fam_pc,FoA_9moSB_FHs_Tot,FoA_9moSB_FHs_Tot_pc,FoA_9moSB_Lone_P_H,FoA_9moSB_Lone_P_H_pc,FoA_9moSB_Group_H,FoA_9moSB_Group_H_pc,FoA_9moSB_Tot,FoA_9moSB_Tot_pc,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_no_C_pc,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_CF_C_pc,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_OnePF_pc,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Oth_fam_pc,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_FHs_Tot_pc,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Lone_P_H_pc,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Group_H_pc,FoA_Att_to_hous_Tot,FoA_Att_to_hous_Tot_pc,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_no_C_pc,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_CF_C_pc,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_OnePF_pc,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Oth_fam_pc,FoA_Tot_FHs_Tot,FoA_Tot_FHs_Tot_pc,FoA_Tot_Lone_P_H,FoA_Tot_Lone_P_H_pc,FoA_Tot_Group_H,FoA_Tot_Group_H_pc,FoA_Tot_Tot,FoA_Tot_Tot_pc,OD_C_FHs_CF_no_C,OD_C_FHs_CF_no_C_pc,OD_C_FHs_CF_C,OD_C_FHs_CF_C_pc,OD_C_FHs_OnePF,OD_C_FHs_OnePF_pc,OD_C_FHs_Oth_fam,OD_C_FHs_Oth_fam_pc,OD_C_FHs_Tot,OD_C_FHs_Tot_pc,OD_C_Lone_P_H,OD_C_Lone_P_H_pc,OD_C_Group_H,OD_C_Group_H_pc,OD_C_Tot,OD_C_Tot_pc,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_no_C_pc,OD_CH_FHs_CF_C,OD_CH_FHs_CF_C_pc,OD_CH_FHs_OnePF,OD_CH_FHs_OnePF_pc,OD_CH_FHs_Oth_fam,OD_CH_FHs_Oth_fam_pc,OD_CH_FHs_Tot,OD_CH_FHs_Tot_pc,OD_CH_Lone_P_H,OD_CH_Lone_P_H_pc,OD_CH_Group_H,OD_CH_Group_H_pc,OD_CH_Tot,OD_CH_Tot_pc,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_no_C_pc,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_CF_C_pc,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_OnePF_pc,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Oth_fam_pc,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_FHs_Tot_pc,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Lone_P_H_pc,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Group_H_pc,OD_Imp_home_T_SO_Tot,OD_Imp_home_T_SO_Tot_pc,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_no_C_pc,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_CF_C_pc,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_OnePF_pc,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Oth_fam_pc,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_FHs_Tot_pc,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Lone_P_H_pc,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Group_H_pc,OD_HorF_at_to_S_O_Tot,OD_HorF_at_to_S_O_Tot_pc,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_no_C_pc,OD_Tot_FHs_CF_C,OD_Tot_FHs_CF_C_pc,OD_Tot_FHs_OnePF,OD_Tot_FHs_OnePF_pc,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Oth_fam_pc,OD_Tot_FHs_Tot,OD_Tot_FHs_Tot_pc,OD_Tot_Lone_P_H,OD_Tot_Lone_P_H_pc,OD_Tot_Group_H,OD_Tot_Group_H_pc,OD_Tot_Tot,OD_Tot_Tot_pc,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_no_C_pc,DS_NS_FHs_CF_C,DS_NS_FHs_CF_C_pc,DS_NS_FHs_OnePF,DS_NS_FHs_OnePF_pc,DS_NS_FHs_Oth_fam,DS_NS_FHs_Oth_fam_pc,DS_NS_FHs_Tot,DS_NS_FHs_Tot_pc,DS_NS_Lone_P_H,DS_NS_Lone_P_H_pc,DS_NS_Group_H,DS_NS_Group_H_pc,DS_NS_Tot,DS_NS_Tot_pc,Tot_FHs_CF_no_C,Tot_FHs_CF_no_C_pc,Tot_FHs_CF_C,Tot_FHs_CF_C_pc,Tot_FHs_OnePF,Tot_FHs_OnePF_pc,Tot_FHs_Oth_fam,Tot_FHs_Oth_fam_pc,Tot_FHs_Tot,Tot_FHs_Tot_pc,Tot_Lone_P_H,Tot_Lone_P_H_pc,Tot_Group_H,Tot_Group_H_pc,Tot_Tot,Tot_Tot_pc,Tot_Tot_total
Albert Park,571.0,0.0161,756.0,0.0213,134.0,0.0038,6.0,0.0002,1471.0,0.0415,345.0,0.0097,37.0,0.001,1944.0,0.0548,1264.0,0.0356,1270.0,0.0358,380.0,0.0107,24.0,0.0007,3005.0,0.0847,1302.0,0.0367,195.0,0.0055,4505.0,0.127,1211.0,0.0341,1425.0,0.0402,443.0,0.0125,48.0,0.0014,3167.0,0.0893,1059.0,0.0299,246.0,0.0069,4550.0,0.1283,2543.0,0.0717,2734.0,0.0771,836.0,0.0236,73.0,0.0021,6233.0,0.1757,2380.0,0.0671,477.0,0.0134,9111.0,0.2568,438.0,0.0123,138.0,0.0039,113.0,0.0032,3.0,0.0001,725.0,0.0204,1235.0,0.0348,104.0,0.0029,2082.0,0.0587,881.0,0.0248,280.0,0.0079,179.0,0.005,12.0,0.0003,1438.0,0.0405,2286.0,0.0644,274.0,0.0077,3944.0,0.1112,1413.0,0.0398,364.0,0.0103,299.0,0.0084,44.0,0.0012,2098.0,0.0591,2624.0,0.074,179.0,0.005,4950.0,0.1395,3966.0,0.1118,1041.0,0.0293,474.0,0.0134,231.0,0.0065,5793.0,0.1633,5655.0,0.1594,1402.0,0.0395,12857.0,0.3624,0.0,0.0,4.0,0.0001,0.0,0.0,0.0,0.0,4.0,0.0001,7.0,0.0002,0.0,0.0,8.0,0.0002,6718.0,0.1894,1852.0,0.0522,1085.0,0.0306,310.0,0.0087,10005.0,0.282,11840.0,0.3338,1980.0,0.0558,23834.0,0.6719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0031,15.0,0.0004,9.0,0.0003,0.0,0.0,157.0,0.0044,221.0,0.0062,43.0,0.0012,428.0,0.0121,110.0,0.0031,15.0,0.0004,9.0,0.0003,0.0,0.0,157.0,0.0044,221.0,0.0062,43.0,0.0012,431.0,0.0121,18.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0008,21.0,0.0006,0.0,0.0,71.0,0.002,9996.0,0.2818,5342.0,0.1506,2084.0,0.0587,437.0,0.0123,17958.0,0.5062,14898.0,0.42,2648.0,0.0746,35474.0,1.0,35474.0
Ashwood,4641.0,0.1613,8557.0,0.2974,1922.0,0.0668,171.0,0.0059,15398.0,0.5351,3115.0,0.1083,766.0,0.0266,19365.0,0.673,535.0,0.0186,528.0,0.0183,183.0,0.0064,13.0,0.0005,1399.0,0.0486,750.0,0.0261,36.0,0.0013,2241.0,0.0779,511.0,0.0178,822.0,0.0286,198.0,0.0069,3.0,0.0001,1680.0,0.0584,290.0,0.0101,144.0,0.005,2185.0,0.0759,1143.0,0.0397,1465.0,0.0509,426.0,0.0148,23.0,0.0008,3067.0,0.1066,1112.0,0.0386,215.0,0.0075,4472.0,0.1554,813.0,0.0283,1065.0,0.037,371.0,0.0129,46.0,0.0016,2321.0,0.0807,1144.0,0.0398,82.0,0.0028,3618.0,0.1257,116.0,0.004,32.0,0.0011,8.0,0.0003,5.0,0.0002,190.0,0.0066,224.0,0.0078,22.0,0.0008,439.0,0.0153,115.0,0.004,25.0,0.0009,52.0,0.0018,11.0,0.0004,191.0,0.0066,284.0,0.0099,14.0,0.0005,489.0,0.017,58.0,0.002,11.0,0.0004,3.0,0.0001,0.0,0.0,72.0,0.0025,89.0,0.0031,18.0,0.0006,180.0,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0001,1107.0,0.0385,1141.0,0.0397,448.0,0.0156,61.0,0.0021,2781.0,0.0966,1738.0,0.0604,142.0,0.0049,4746.0,0.1649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0001,7.0,0.0002,0.0,0.0,0.0,0.0,14.0,0.0005,17.0,0.0006,3.0,0.0001,47.0,0.0016,4.0,0.0001,7.0,0.0002,0.0,0.0,0.0,0.0,14.0,0.0005,17.0,0.0006,3.0,0.0001,47.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0001,0.0,0.0,3.0,0.0001,6843.0,0.2378,11218.0,0.3899,2872.0,0.0998,354.0,0.0123,21353.0,0.7421,6036.0,0.2098,1223.0,0.0425,28775.0,1.0,28775.0
Bass,7637.0,0.3053,6825.0,0.2728,2305.0,0.0921,134.0,0.0054,17034.0,0.681,5733.0,0.2292,544.0,0.0217,23317.0,0.9322,115.0,0.0046,13.0,0.0005,15.0,0.0006,0.0,0.0,181.0,0.0072,459.0,0.0183,3.0,0.0001,691.0,0.0276,108.0,0.0043,43.0,0.0017,25.0,0.001,0.0,0.0,177.0,0.0071,81.0,0.0032,11.0,0.0004,279.0,0.0112,233.0,0.0093,59.0,0.0024,44.0,0.0018,0.0,0.0,398.0,0.0159,555.0,0.0222,11.0,0.0004,972.0,0.0389,46.0,0.0018,18.0,0.0007,25.0,0.001,0.0,0.0,130.0,0.0052,225.0,0.009,0.0,0.0,378.0,0.0151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0006,0.0,0.0,25.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0002,5.0,0.0002,0.0,0.0,9.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0001,0.0,0.0,8.0,0.0003,73.0,0.0029,18.0,0.0007,18.0,0.0007,0.0,0.0,152.0,0.0061,250.0,0.01,0.0,0.0,423.0,0.0169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0002,40.0,0.0016,0.0,0.0,45.0,0.0018,29.0,0.0012,0.0,0.0,6.0,0.0002,0.0,0.0,39.0,0.0016,78.0,0.0031,0.0,0.0,121.0,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0001,0.0,0.0,0.0,0.0,7.0,0.0003,29.0,0.0012,0.0,0.0,6.0,0.0002,0.0,0.0,45.0,0.0018,114.0,0.0046,0.0,0.0,168.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0001,7.0,0.0003,0.0,0.0,19.0,0.0008,8006.0,0.3201,7020.0,0.2806,2440.0,0.0975,134.0,0.0054,17663.0,0.7061,6715.0,0.2684,613.0,0.0245,25014.0,1.0,25014.0
Bayswater,5660.0,0.2066,8004.0,0.2922,2760.0,0.1007,156.0,0.0057,16744.0,0.6112,4240.0,0.1548,599.0,0.0219,21500.0,0.7848,609.0,0.0222,521.0,0.019,331.0,0.0121,21.0,0.0008,1502.0,0.0548,1253.0,0.0457,62.0,0.0023,2938.0,0.1072,466.0,0.017,446.0,0.0163,264.0,0.0096,13.0,0.0005,1280.0,0.0467,502.0,0.0183,85.0,0.0031,1920.0,0.0701,1146.0,0.0418,975.0,0.0356,598.0,0.0218,44.0,0.0016,2828.0,0.1032,1792.0,0.0654,172.0,0.0063,4824.0,0.1761,92.0,0.0034,55.0,0.002,39.0,0.0014,4.0,0.0001,224.0,0.0082,299.0,0.0109,8.0,0.0003,567.0,0.0207,69.0,0.0025,23.0,0.0008,26.0,0.0009,3.0,0.0001,119.0,0.0043,172.0,0.0063,17.0,0.0006,303.0,0.0111,20.0,0.0007,0.0,0.0,18.0,0.0007,0.0,0.0,43.0,0.0016,43.0,0.0016,0.0,0.0,83.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0001,177.0,0.0065,77.0,0.0028,94.0,0.0034,7.0,0.0003,383.0,0.014,525.0,0.0192,24.0,0.0009,960.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0001,0.0,0.0,6.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0001,0.0,0.0,6.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0002,7053.0,0.2574,9112.0,0.3326,3441.0,0.1256,260.0,0.0095,19948.0,0.7281,6637.0,0.2423,809.0,0.0295,27396.0,1.0,27396.0
Bellarine,8892.0,0.3296,7357.0,0.2727,2384.0,0.0884,146.0,0.0054,18772.0,0.6958,5788.0,0.2145,456.0,0.0169,25066.0,0.9291,228.0,0.0085,32.0,0.0012,78.0,0.0029,0.0,0.0,408.0,0.0151,688.0,0.0255,3.0,0.0001,1145.0,0.0424,137.0,0.0051,26.0,0.001,33.0,0.0012,0.0,0.0,260.0,0.0096,107.0,0.004,0.0,0.0,374.0,0.0139,384.0,0.0142,93.0,0.0034,125.0,0.0046,0.0,0.0,702.0,0.026,787.0,0.0292,8.0,0.0003,1588.0,0.0589,32.0,0.0012,3.0,0.0001,3.0,0.0001,0.0,0.0,40.0,0.0015,87.0,0.0032,0.0,0.0,148.0,0.0055,3.0,0.0001,3.0,0.0001,0.0,0.0,0.0,0.0,6.0,0.0002,0.0,0.0,0.0,0.0,3.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0013,6.0,0.0002,3.0,0.0001,0.0,0.0,46.0,0.0017,88.0,0.0033,0.0,0.0,152.0,0.0056,3.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0001,3.0,0.0001,0.0,0.0,5.0,0.0002,18.0,0.0007,0.0,0.0,3.0,0.0001,0.0,0.0,27.0,0.001,77.0,0.0029,4.0,0.0001,110.0,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0003,5.0,0.0002,0.0,0.0,17.0,0.0006,26.0,0.001,0.0,0.0,4.0,0.0001,0.0,0.0,36.0,0.0013,90.0,0.0033,4.0,0.0001,141.0,0.0052,4.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0004,3.0,0.0001,0.0,0.0,9.0,0.0003,9391.0,0.3481,7478.0,0.2772,2545.0,0.0943,156.0,0.0058,19598.0,0.7264,6788.0,0.2516,513.0,0.019,26978.0,1.0,26978.0
Benambra,7271.0,0.2863,6930.0,0.2728,2614.0,0.1029,136.0,0.0054,17097.0,0.6731,5579.0,0.2196,498.0,0.0196,23187.0,0.9129,169.0,0.0067,65.0,0.0026,137.0,0.0054,4.0,0.0002,446.0,0.0176,1067.0,0.042,45.0,0.0018,1606.0,0.0632,6.0,0.0002,3.0,0.0001,15.0,0.0006,5.0,0.0002,46.0,0.0018,37.0,0.0015,0.0,0.0,91.0,0.0036,186.0,0.0073,62.0,0.0024,161.0,0.0063,12.0,0.0005,495.0,0.0195,1114.0,0.0439,50.0,0.002,1716.0,0.0676,32.0,0.0013,4.0,0.0002,23.0,0.0009,0.0,0.0,84.0,0.0033,205.0,0.0081,7.0,0.0003,305.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0002,32.0,0.0013,4.0,0.0002,23.0,0.0009,0.0,0.0,84.0,0.0033,205.0,0.0081,7.0,0.0003,314.0,0.0124,3.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0001,44.0,0.0017,0.0,0.0,58.0,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0001,0.0,0.0,21.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0004,9.0,0.0004,0.0,0.0,28.0,0.0011,16.0,0.0006,0.0,0.0,3.0,0.0001,0.0,0.0,30.0,0.0012,59.0,0.0023,0.0,0.0,117.0,0.0046,13.0,0.0005,5.0,0.0002,0.0,0.0,0.0,0.0,24.0,0.0009,0.0,0.0,0.0,0.0,38.0,0.0015,7623.0,0.3001,7055.0,0.2778,2892.0,0.1139,165.0,0.0065,17756.0,0.6991,7014.0,0.2761,596.0,0.0235,25400.0,1.0,25400.0
Bendigo East,7106.0,0.2633,7727.0,0.2863,3082.0,0.1142,192.0,0.0071,18087.0,0.6703,5822.0,0.2157,737.0,0.0273,24746.0,0.917,240.0,0.0089,108.0,0.004,131.0,0.0049,10.0,0.0004,559.0,0.0207,1113.0,0.0412,50.0,0.0019,1743.0,0.0646,44.0,0.0016,22.0,0.0008,29.0,0.0011,0.0,0.0,130.0,0.0048,71.0,0.0026,24.0,0.0009,239.0,0.0089,303.0,0.0112,136.0,0.005,149.0,0.0055,10.0,0.0004,661.0,0.0245,1220.0,0.0452,85.0,0.0031,1947.0,0.0722,17.0,0.0006,0.0,0.0,12.0,0.0004,0.0,0.0,35.0,0.0013,55.0,0.002,0.0,0.0,97.0,0.0036,9.0,0.0003,4.0,0.0001,0.0,0.0,0.0,0.0,7.0,0.0003,4.0,0.0001,0.0,0.0,13.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.001,4.0,0.0001,12.0,0.0004,0.0,0.0,42.0,0.0016,59.0,0.0022,0.0,0.0,110.0,0.0041,3.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0001,1.0,0.0,0.0,0.0,9.0,0.0003,10.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0007,9.0,0.0003,0.0,0.0,29.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0003,12.0,0.0004,0.0,0.0,13.0,0.0005,20.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0013,24.0,0.0009,0.0,0.0,67.0,0.0025,7.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0004,6.0,0.0002,0.0,0.0,27.0,0.001,7505.0,0.2781,7932.0,0.2939,3268.0,0.1211,209.0,0.0077,18897.0,0.7003,7217.0,0.2674,863.0,0.032,26985.0,1.0,26985.0
