district,census_variable,value
Albert Park,M_0_4_yrs_Need_for_assistance,0.0
Ashwood,M_0_4_yrs_Need_for_assistance,0.0
Bass,M_0_4_yrs_Need_for_assistance,3.0
Bayswater,M_0_4_yrs_Need_for_assistance,26.0
Bellarine,M_0_4_yrs_Need_for_assistance,0.0
Benambra,M_0_4_yrs_Need_for_assistance,26.0
Bendigo East,M_0_4_yrs_Need_for_assistance,16.0
Bendigo West,M_0_4_yrs_Need_for_assistance,29.0
Bentleigh,M_0_4_yrs_Need_for_assistance,3.0
Berwick,M_0_4_yrs_Need_for_assistance,21.0
Box Hill,M_0_4_yrs_Need_for_assistance,9.0
Brighton,M_0_4_yrs_Need_for_assistance,3.0
Broadmeadows,M_0_4_yrs_Need_for_assistance,13.0
Brunswick,M_0_4_yrs_Need_for_assistance,4.0
Bulleen,M_0_4_yrs_Need_for_assistance,5.0
Bundoora,M_0_4_yrs_Need_for_assistance,18.0
Carrum,M_0_4_yrs_Need_for_assistance,6.0
Caulfield,M_0_4_yrs_Need_for_assistance,4.0
Clarinda,M_0_4_yrs_Need_for_assistance,8.0
Cranbourne,M_0_4_yrs_Need_for_assistance,36.0
Croydon,M_0_4_yrs_Need_for_assistance,12.0
Dandenong,M_0_4_yrs_Need_for_assistance,7.0
Eildon,M_0_4_yrs_Need_for_assistance,0.0
Eltham,M_0_4_yrs_Need_for_assistance,9.0
Essendon,M_0_4_yrs_Need_for_assistance,3.0
Eureka,M_0_4_yrs_Need_for_assistance,10.0
Euroa,M_0_4_yrs_Need_for_assistance,9.0
Evelyn,M_0_4_yrs_Need_for_assistance,17.0
Footscray,M_0_4_yrs_Need_for_assistance,3.0
Frankston,M_0_4_yrs_Need_for_assistance,21.0
Geelong,M_0_4_yrs_Need_for_assistance,10.0
Gippsland East,M_0_4_yrs_Need_for_assistance,0.0
Gippsland South,M_0_4_yrs_Need_for_assistance,13.0
Glen Waverley,M_0_4_yrs_Need_for_assistance,3.0
Greenvale,M_0_4_yrs_Need_for_assistance,11.0
Hastings,M_0_4_yrs_Need_for_assistance,27.0
Hawthorn,M_0_4_yrs_Need_for_assistance,7.0
Ivanhoe,M_0_4_yrs_Need_for_assistance,4.0
Kalkallo,M_0_4_yrs_Need_for_assistance,25.0
Kew,M_0_4_yrs_Need_for_assistance,0.0
Kororoit,M_0_4_yrs_Need_for_assistance,27.0
Lara,M_0_4_yrs_Need_for_assistance,30.0
Laverton,M_0_4_yrs_Need_for_assistance,10.0
Lowan,M_0_4_yrs_Need_for_assistance,3.0
Macedon,M_0_4_yrs_Need_for_assistance,14.0
Malvern,M_0_4_yrs_Need_for_assistance,0.0
Melbourne,M_0_4_yrs_Need_for_assistance,5.0
Melton,M_0_4_yrs_Need_for_assistance,17.0
Mildura,M_0_4_yrs_Need_for_assistance,10.0
Mill Park,M_0_4_yrs_Need_for_assistance,15.0
Monbulk,M_0_4_yrs_Need_for_assistance,0.0
Mordialloc,M_0_4_yrs_Need_for_assistance,11.0
Mornington,M_0_4_yrs_Need_for_assistance,7.0
Morwell,M_0_4_yrs_Need_for_assistance,25.0
Mulgrave,M_0_4_yrs_Need_for_assistance,13.0
Murray Plains,M_0_4_yrs_Need_for_assistance,6.0
Narracan,M_0_4_yrs_Need_for_assistance,13.0
Narre Warren North,M_0_4_yrs_Need_for_assistance,7.0
Narre Warren South,M_0_4_yrs_Need_for_assistance,0.0
Nepean,M_0_4_yrs_Need_for_assistance,28.0
Niddrie,M_0_4_yrs_Need_for_assistance,13.0
Northcote,M_0_4_yrs_Need_for_assistance,0.0
Oakleigh,M_0_4_yrs_Need_for_assistance,0.0
Ovens Valley,M_0_4_yrs_Need_for_assistance,13.0
Pakenham,M_0_4_yrs_Need_for_assistance,36.0
Pascoe Vale,M_0_4_yrs_Need_for_assistance,3.0
Point Cook,M_0_4_yrs_Need_for_assistance,28.0
Polwarth,M_0_4_yrs_Need_for_assistance,8.0
Prahran,M_0_4_yrs_Need_for_assistance,0.0
Preston,M_0_4_yrs_Need_for_assistance,3.0
Richmond,M_0_4_yrs_Need_for_assistance,0.0
Ringwood,M_0_4_yrs_Need_for_assistance,0.0
Ripon,M_0_4_yrs_Need_for_assistance,4.0
Rowville,M_0_4_yrs_Need_for_assistance,3.0
Sandringham,M_0_4_yrs_Need_for_assistance,3.0
Shepparton,M_0_4_yrs_Need_for_assistance,8.0
South Barwon,M_0_4_yrs_Need_for_assistance,19.0
South-West Coast,M_0_4_yrs_Need_for_assistance,4.0
St Albans,M_0_4_yrs_Need_for_assistance,0.0
Sunbury,M_0_4_yrs_Need_for_assistance,14.0
Sydenham,M_0_4_yrs_Need_for_assistance,12.0
Tarneit,M_0_4_yrs_Need_for_assistance,15.0
Thomastown,M_0_4_yrs_Need_for_assistance,8.0
Warrandyte,M_0_4_yrs_Need_for_assistance,3.0
Wendouree,M_0_4_yrs_Need_for_assistance,20.0
Werribee,M_0_4_yrs_Need_for_assistance,28.0
Williamstown,M_0_4_yrs_Need_for_assistance,10.0
Yan Yean,M_0_4_yrs_Need_for_assistance,15.0
Albert Park,M_0_4_yrs_Need_for_assistance_pc,0.0
Ashwood,M_0_4_yrs_Need_for_assistance_pc,0.0
Bass,M_0_4_yrs_Need_for_assistance_pc,0.0
Bayswater,M_0_4_yrs_Need_for_assistance_pc,0.0004
Bellarine,M_0_4_yrs_Need_for_assistance_pc,0.0
Benambra,M_0_4_yrs_Need_for_assistance_pc,0.0004
Bendigo East,M_0_4_yrs_Need_for_assistance_pc,0.0002
Bendigo West,M_0_4_yrs_Need_for_assistance_pc,0.0005
Bentleigh,M_0_4_yrs_Need_for_assistance_pc,0.0
Berwick,M_0_4_yrs_Need_for_assistance_pc,0.0003
Box Hill,M_0_4_yrs_Need_for_assistance_pc,0.0001
Brighton,M_0_4_yrs_Need_for_assistance_pc,0.0
Broadmeadows,M_0_4_yrs_Need_for_assistance_pc,0.0002
Brunswick,M_0_4_yrs_Need_for_assistance_pc,0.0001
Bulleen,M_0_4_yrs_Need_for_assistance_pc,0.0001
Bundoora,M_0_4_yrs_Need_for_assistance_pc,0.0003
Carrum,M_0_4_yrs_Need_for_assistance_pc,0.0001
Caulfield,M_0_4_yrs_Need_for_assistance_pc,0.0001
Clarinda,M_0_4_yrs_Need_for_assistance_pc,0.0001
Cranbourne,M_0_4_yrs_Need_for_assistance_pc,0.0004
Croydon,M_0_4_yrs_Need_for_assistance_pc,0.0002
Dandenong,M_0_4_yrs_Need_for_assistance_pc,0.0001
Eildon,M_0_4_yrs_Need_for_assistance_pc,0.0
Eltham,M_0_4_yrs_Need_for_assistance_pc,0.0001
Essendon,M_0_4_yrs_Need_for_assistance_pc,0.0
Eureka,M_0_4_yrs_Need_for_assistance_pc,0.0001
Euroa,M_0_4_yrs_Need_for_assistance_pc,0.0001
