district,CF_C_BPBO_DC_0_4_pc,CF_C_BPBO_DC_5_9_pc,CF_C_BPBO_DC_10_12_pc,CF_C_BPBO_DC_13_14_pc,CF_C_BPBO_DC_15_17_pc,CF_C_BPBO_DC_18_20_pc,CF_C_BPBO_DC_21_24_pc,CF_C_BPBO_Tot_pc,CF_C_FBO_DC_0_4_pc,CF_C_FBO_DC_5_9_pc,CF_C_FBO_DC_10_12_pc,CF_C_FBO_DC_13_14_pc,CF_C_FBO_DC_15_17_pc,CF_C_FBO_DC_18_20_pc,CF_C_FBO_DC_21_24_pc,CF_C_FBO_Tot_pc,CF_C_MBO_DC_0_4_pc,CF_C_MBO_DC_5_9_pc,CF_C_MBO_DC_10_12_pc,CF_C_MBO_DC_13_14_pc,CF_C_MBO_DC_15_17_pc,CF_C_MBO_DC_18_20_pc,CF_C_MBO_DC_21_24_pc,CF_C_MBO_Tot_pc,CF_C_BPBAu_DC_0_4_pc,CF_C_BPBAu_DC_5_9_pc,CF_C_BPBAu_DC_10_12_pc,CF_C_BPBAu_DC_13_14_pc,CF_C_BPBAu_DC_15_17_pc,CF_C_BPBAu_DC_18_20_pc,CF_C_BPBAu_DC_21_24_pc,CF_C_BPBAu_Tot_pc,CF_C_BP_NS_DC_0_4_pc,CF_C_BP_NS_DC_5_9_pc,CF_C_BP_NS_DC_10_12_pc,CF_C_BP_NS_DC_13_14_pc,CF_C_BP_NS_DC_15_17_pc,CF_C_BP_NS_DC_18_20_pc,CF_C_BP_NS_DC_21_24_pc,CF_C_BP_NS_Tot_pc,CF_C_Tot_DC_0_4_pc,CF_C_Tot_DC_5_9_pc,CF_C_Tot_DC_10_12_pc,CF_C_Tot_DC_13_14_pc,CF_C_Tot_DC_15_17_pc,CF_C_Tot_DC_18_20_pc,CF_C_Tot_DC_21_24_pc,CF_C_Tot_Tot_pc,One_PF_BPBO_DC_0_4_pc,One_PF_BPBO_DC_5_9_pc,One_PF_BPBO_DC_10_12_pc,One_PF_BPBO_DC_13_14_pc,One_PF_BPBO_DC_15_17_pc,One_PF_BPBO_DC_18_20_pc,One_PF_BPBO_DC_21_24_pc,One_PF_BPBO_Tot_pc,One_PF_FBO_DC_0_4_pc,One_PF_FBO_DC_5_9_pc,One_PF_FBO_DC_10_12_pc,One_PF_FBO_DC_13_14_pc,One_PF_FBO_DC_15_17_pc,One_PF_FBO_DC_18_20_pc,One_PF_FBO_DC_21_24_pc,One_PF_FBO_Tot_pc,One_PF_MBO_DC_0_4_pc,One_PF_MBO_DC_5_9_pc,One_PF_MBO_DC_10_12_pc,One_PF_MBO_DC_13_14_pc,One_PF_MBO_DC_15_17_pc,One_PF_MBO_DC_18_20_pc,One_PF_MBO_DC_21_24_pc,One_PF_MBO_Tot_pc,One_PF_BPBAu_DC_0_4_pc,One_PF_BPBAu_DC_5_9_pc,One_PF_BPBAu_DC_10_12_pc,One_PF_BPBAu_DC_13_14_pc,One_PF_BPBAu_DC_15_17_pc,One_PF_BPBAu_DC_18_20_pc,One_PF_BPBAu_DC_21_24_pc,One_PF_BPBAu_Tot_pc,One_PF_BP_NS_DC_0_4_pc,One_PF_BP_NS_DC_5_9_pc,One_PF_BP_NS_DC_10_12_pc,One_PF_BP_NS_DC_13_14_pc,One_PF_BP_NS_DC_15_17_pc,One_PF_BP_NS_DC_18_20_pc,One_PF_BP_NS_DC_21_24_pc,One_PF_BP_NS_Tot_pc,One_PF_Tot_DC_0_4_pc,One_PF_Tot_DC_5_9_pc,One_PF_Tot_DC_10_12_pc,One_PF_Tot_DC_13_14_pc,One_PF_Tot_DC_15_17_pc,One_PF_Tot_DC_18_20_pc,One_PF_Tot_DC_21_24_pc,One_PF_Tot_Tot_pc,Tot_DC_0_4_pc,Tot_DC_5_9_pc,Tot_DC_10_12_pc,Tot_DC_13_14_pc,Tot_DC_15_17_pc,Tot_DC_18_20_pc,Tot_DC_21_24_pc,Tot_Tot_pc
Eureka,0.0173,0.0156,0.0078,0.004,0.0032,0.0007,0.0002,0.0623,0.0093,0.0145,0.0069,0.0037,0.0043,0.0012,0.0005,0.0542,0.0102,0.0118,0.0043,0.0024,0.0041,0.0013,0.0,0.0481,0.1713,0.1829,0.1033,0.0672,0.0772,0.0233,0.006,0.6343,0.0007,0.0004,0.0,0.0,0.0,0.0,0.0,0.0023,0.2157,0.2323,0.1289,0.0868,0.0965,0.0337,0.0109,0.8032,0.0013,0.0006,0.0005,0.0002,0.0008,0.0,0.0,0.0072,0.0013,0.0028,0.0018,0.0007,0.0009,0.0,0.0,0.0154,0.0009,0.002,0.0013,0.0006,0.0009,0.0002,0.0,0.009,0.0267,0.038,0.0291,0.0203,0.0244,0.0034,0.0007,0.1541,0.0,0.0004,0.0,0.0,0.0002,0.0,0.0,0.0019,0.0339,0.0486,0.037,0.024,0.032,0.0064,0.0018,0.1944,0.2496,0.2796,0.1645,0.1122,0.1264,0.0467,0.0145,1.0
Euroa,0.0103,0.007,0.0056,0.002,0.0035,0.0004,0.0,0.0422,0.0065,0.0099,0.0042,0.0018,0.0025,0.0014,0.0,0.0394,0.0073,0.0104,0.0042,0.0029,0.0014,0.0003,0.0,0.0447,0.1709,0.17,0.1038,0.0726,0.0856,0.0194,0.0042,0.6432,0.0005,0.0008,0.0002,0.0003,0.0,0.0,0.0,0.0022,0.2074,0.211,0.1324,0.0871,0.102,0.0256,0.005,0.7814,0.0008,0.0006,0.0,0.0,0.0,0.0003,0.0,0.0057,0.001,0.0018,0.0003,0.0017,0.0013,0.0,0.0,0.013,0.0005,0.0008,0.0003,0.0006,0.0005,0.0,0.0,0.004,0.0304,0.0452,0.0331,0.0189,0.0284,0.0041,0.0005,0.1799,0.0005,0.0005,0.0018,0.0,0.0,0.0,0.0,0.0059,0.0385,0.0555,0.0408,0.0255,0.0352,0.0058,0.0008,0.2217,0.2468,0.2727,0.1687,0.1161,0.1411,0.0392,0.0099,1.0
Evelyn,0.0216,0.0213,0.013,0.0044,0.0113,0.0051,0.0017,0.0926,0.0149,0.0132,0.0041,0.004,0.0061,0.0027,0.0008,0.0664,0.0159,0.0142,0.0056,0.0033,0.0057,0.0009,0.0006,0.0608,0.1872,0.1691,0.0921,0.0611,0.0791,0.0287,0.0121,0.638,0.0005,0.0003,0.0002,0.0,0.0,0.0,0.0,0.0012,0.2434,0.2298,0.1249,0.0847,0.1125,0.0437,0.0203,0.8626,0.0002,0.001,0.0,0.0002,0.0013,0.0004,0.0,0.0079,0.0008,0.0025,0.001,0.0006,0.0009,0.0,0.0004,0.0129,0.0002,0.0011,0.0004,0.0002,0.0004,0.0,0.0,0.0086,0.0112,0.0238,0.0171,0.0107,0.0177,0.0066,0.0021,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0149,0.0322,0.0223,0.0172,0.0256,0.0093,0.0032,0.1367,0.262,0.2595,0.1512,0.1016,0.1357,0.0577,0.0275,1.0
Footscray,0.0815,0.0641,0.0349,0.0205,0.0257,0.0182,0.0067,0.2683,0.032,0.0273,0.0138,0.0061,0.0059,0.0019,0.0009,0.1043,0.0394,0.0271,0.0102,0.0043,0.0046,0.0009,0.0016,0.1043,0.1169,0.0975,0.0501,0.0281,0.0339,0.014,0.0056,0.3663,0.0,0.0004,0.0003,0.0004,0.0,0.0,0.0,0.0031,0.2796,0.2296,0.1156,0.0667,0.0814,0.0471,0.0212,0.8457,0.0056,0.0094,0.0045,0.0041,0.0057,0.007,0.0031,0.0572,0.0018,0.0031,0.0016,0.001,0.001,0.0,0.0004,0.0196,0.0005,0.0013,0.0002,0.0006,0.0006,0.0003,0.0003,0.0115,0.0041,0.0125,0.0063,0.0049,0.0064,0.0021,0.0007,0.0544,0.0003,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0016,0.0187,0.0382,0.0218,0.015,0.0174,0.0136,0.0053,0.1502,0.2999,0.2665,0.1365,0.0871,0.1053,0.0624,0.0351,1.0
Frankston,0.0263,0.0291,0.018,0.0105,0.0139,0.0074,0.0028,0.1255,0.0204,0.0172,0.0086,0.0045,0.0084,0.0015,0.0007,0.0802,0.0187,0.02,0.009,0.0039,0.0067,0.001,0.0006,0.0854,0.1409,0.1221,0.0615,0.0354,0.0455,0.0177,0.0064,0.4453,0.0003,0.0006,0.0,0.0,0.0,0.0,0.0,0.0015,0.2111,0.1996,0.1074,0.0698,0.0879,0.0377,0.0131,0.7361,0.0007,0.0023,0.0008,0.0015,0.0061,0.0007,0.0,0.0278,0.0028,0.0056,0.0035,0.0034,0.0031,0.0008,0.0,0.0351,0.0015,0.0039,0.0014,0.0009,0.002,0.0005,0.0002,0.0245,0.0263,0.0482,0.0286,0.0193,0.021,0.0065,0.0016,0.1732,0.0,0.0015,0.0003,0.0002,0.0,0.0,0.0,0.0049,0.0411,0.0695,0.0466,0.0348,0.044,0.0141,0.0042,0.2631,0.2582,0.2705,0.156,0.1014,0.1317,0.0574,0.0195,1.0
Geelong,0.0222,0.0176,0.0062,0.0036,0.0023,0.0021,0.0,0.0716,0.0132,0.0158,0.0062,0.0044,0.0045,0.0016,0.0005,0.0624,0.017,0.0151,0.0064,0.0032,0.0039,0.0008,0.0002,0.0602,0.1723,0.1728,0.0912,0.0632,0.0763,0.0262,0.0081,0.6224,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0008,0.2322,0.2329,0.1229,0.0811,0.0951,0.0349,0.0121,0.817,0.0005,0.0023,0.0005,0.0003,0.0004,0.0003,0.0003,0.0095,0.0004,0.003,0.0018,0.0008,0.0011,0.0003,0.0,0.0145,0.0008,0.0016,0.0005,0.0006,0.0007,0.0003,0.0,0.0094,0.0179,0.0332,0.0223,0.0121,0.0208,0.006,0.0019,0.1347,0.0006,0.0015,0.0003,0.0003,0.0,0.0,0.0,0.0031,0.0272,0.0468,0.0305,0.0215,0.0303,0.009,0.0031,0.1813,0.2577,0.2776,0.1553,0.1018,0.1291,0.0525,0.0195,1.0
Gippsland East,0.0077,0.0111,0.005,0.0011,0.0012,0.0003,0.0007,0.0378,0.0084,0.0039,0.002,0.0009,0.004,0.0,0.0,0.0339,0.0091,0.0082,0.0041,0.0016,0.002,0.0,0.0003,0.0396,0.1698,0.1771,0.1123,0.0716,0.0859,0.0152,0.0006,0.6519,0.0003,0.0008,0.0,0.0,0.0,0.0,0.0,0.0032,0.2052,0.2171,0.1373,0.0852,0.1026,0.018,0.0018,0.7742,0.0,0.0008,0.0,0.0,0.0003,0.0,0.0,0.003,0.0013,0.0025,0.0006,0.0006,0.0004,0.0,0.0,0.0127,0.0,0.0016,0.0008,0.0003,0.0005,0.0,0.0005,0.0073,0.0328,0.051,0.0336,0.024,0.0285,0.0014,0.0,0.1907,0.0008,0.001,0.0004,0.0,0.0,0.0,0.0,0.0046,0.0375,0.0609,0.041,0.03,0.0359,0.0015,0.0005,0.2276,0.2514,0.2857,0.1773,0.1191,0.1359,0.0253,0.0035,1.0
Gippsland South,0.0073,0.0091,0.005,0.0017,0.0041,0.0003,0.0,0.039,0.0074,0.0139,0.0067,0.0018,0.0041,0.0,0.0,0.0459,0.0115,0.0102,0.0052,0.002,0.0031,0.0,0.0,0.0464,0.1618,0.185,0.108,0.0743,0.0918,0.0234,0.0041,0.6588,0.0014,0.0018,0.0,0.0,0.0002,0.0,0.0,0.0038,0.2018,0.2251,0.1387,0.0908,0.1126,0.0261,0.0054,0.7983,0.0,0.0006,0.0007,0.0,0.0,0.0,0.0,0.0046,0.0,0.0022,0.0014,0.0008,0.0005,0.0,0.0,0.0105,0.0005,0.0004,0.0003,0.0004,0.0,0.0,0.0,0.0042,0.0294,0.0426,0.0265,0.0223,0.0235,0.003,0.0006,0.1625,0.0,0.001,0.0002,0.0,0.0006,0.0,0.0,0.0031,0.0329,0.0532,0.0306,0.0279,0.0275,0.0043,0.0008,0.1943,0.2358,0.274,0.1747,0.1216,0.1419,0.0333,0.0067,1.0
Glen Waverley,0.1074,0.1609,0.0957,0.0612,0.0749,0.053,0.0369,0.5878,0.0057,0.0047,0.0031,0.0024,0.0043,0.0011,0.0005,0.0358,0.0094,0.0104,0.0051,0.0021,0.0056,0.0025,0.0011,0.0527,0.021,0.034,0.0267,0.0194,0.0338,0.0223,0.0087,0.1777,0.0002,0.0,0.0,0.0,0.0,0.0002,0.0,0.0007,0.1505,0.217,0.1383,0.0902,0.1239,0.0863,0.0537,0.865,0.0021,0.0122,0.0108,0.008,0.0144,0.0118,0.006,0.084,0.0008,0.0003,0.0002,0.0014,0.0005,0.0,0.0002,0.0081,0.0002,0.0007,0.0,0.0,0.0008,0.0,0.0,0.006,0.0009,0.0034,0.0028,0.0033,0.0044,0.0022,0.0004,0.0308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0055,0.0232,0.0184,0.0153,0.0258,0.0202,0.0102,0.1369,0.1629,0.2445,0.1598,0.1076,0.1549,0.1066,0.0665,1.0
Greenvale,0.0933,0.1134,0.0703,0.0502,0.0669,0.0484,0.0287,0.4765,0.0234,0.0243,0.0129,0.0053,0.0105,0.0045,0.0026,0.0967,0.0129,0.0114,0.0044,0.0028,0.0046,0.0029,0.0009,0.0522,0.0614,0.0493,0.0283,0.0191,0.0242,0.0138,0.0047,0.207,0.0011,0.0008,0.0001,0.0003,0.0,0.0,0.0,0.0044,0.1983,0.2034,0.1235,0.0846,0.1096,0.0719,0.0431,0.8386,0.0067,0.0134,0.0102,0.006,0.011,0.0071,0.0033,0.07,0.002,0.0044,0.0019,0.0009,0.0019,0.0009,0.0006,0.0223,0.0003,0.0023,0.0008,0.0,0.0011,0.0007,0.0001,0.0095,0.0079,0.0115,0.006,0.005,0.0064,0.0008,0.0007,0.0503,0.0003,0.0005,0.0,0.0001,0.0001,0.0,0.0,0.0023,0.0244,0.0366,0.0236,0.0174,0.0243,0.0137,0.0078,0.1585,0.2241,0.2419,0.1489,0.1038,0.1374,0.0879,0.0547,1.0
Hastings,0.0078,0.0104,0.0064,0.0044,0.0063,0.0037,0.0004,0.0547,0.0173,0.0169,0.0093,0.0048,0.0076,0.0012,0.0003,0.0726,0.0172,0.0126,0.0061,0.0057,0.0053,0.0022,0.0005,0.0642,0.1767,0.1653,0.0938,0.0589,0.0735,0.0224,0.0082,0.6054,0.0003,0.0003,0.0002,0.0,0.0,0.0,0.0,0.0012,0.2254,0.2149,0.1243,0.0812,0.1011,0.0365,0.0144,0.8016,0.0015,0.002,0.0012,0.0002,0.0014,0.0,0.0,0.0117,0.0013,0.0022,0.0016,0.0009,0.0018,0.0004,0.0,0.0183,0.0005,0.0014,0.0013,0.0012,0.0016,0.0003,0.0,0.0125,0.0239,0.0416,0.0223,0.018,0.0222,0.004,0.0006,0.1524,0.0004,0.0003,0.0,0.0006,0.0002,0.0,0.0,0.0029,0.0324,0.0517,0.0316,0.0264,0.0335,0.0099,0.001,0.2014,0.2598,0.2686,0.1578,0.1094,0.1323,0.0495,0.0194,1.0
Hawthorn,0.0499,0.0632,0.0304,0.0179,0.0227,0.014,0.0081,0.2218,0.0128,0.0183,0.0099,0.0041,0.0108,0.0065,0.0042,0.0906,0.016,0.0212,0.013,0.0075,0.0103,0.0072,0.0019,0.0997,0.0802,0.0889,0.0706,0.053,0.0818,0.0629,0.0286,0.4653,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0014,0.1656,0.1961,0.1295,0.0964,0.1336,0.0994,0.0533,0.8802,0.0011,0.0069,0.0026,0.0018,0.0047,0.0022,0.0017,0.0385,0.0009,0.0007,0.0017,0.0004,0.0002,0.001,0.0006,0.0146,0.0005,0.0007,0.0004,0.0004,0.0007,0.0008,0.0,0.012,0.0022,0.0045,0.0042,0.0042,0.0054,0.0048,0.0022,0.0488,0.0012,0.0002,0.0,0.0,0.0,0.0,0.0,0.0014,0.0086,0.0204,0.0168,0.0126,0.0212,0.0143,0.0091,0.1207,0.1748,0.2196,0.1496,0.1113,0.1582,0.1139,0.0618,1.0
Ivanhoe,0.0583,0.07,0.0327,0.0159,0.0204,0.0152,0.0096,0.2306,0.0173,0.0226,0.01,0.0047,0.0081,0.0048,0.0019,0.0873,0.02,0.0243,0.008,0.0039,0.0074,0.0027,0.0011,0.0885,0.1066,0.1109,0.0662,0.0478,0.0644,0.0353,0.0211,0.4495,0.0005,0.0003,0.0002,0.0,0.0,0.0,0.0,0.0015,0.2099,0.2319,0.1248,0.0816,0.1082,0.0675,0.0393,0.8583,0.0031,0.0048,0.0032,0.0014,0.0058,0.0022,0.0015,0.0388,0.0013,0.0021,0.0015,0.0,0.0015,0.0012,0.0,0.0152,0.0,0.0013,0.0005,0.0,0.0,0.0007,0.0002,0.0087,0.0066,0.0112,0.0078,0.0072,0.0103,0.0028,0.0011,0.0703,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0007,0.0155,0.029,0.02,0.0164,0.0249,0.0122,0.0062,0.1414,0.2256,0.2556,0.1479,0.1002,0.1366,0.0855,0.0482,1.0
Kalkallo,0.1813,0.169,0.0782,0.04,0.0486,0.0278,0.0143,0.5624,0.0157,0.0106,0.0049,0.0022,0.0032,0.0014,0.0007,0.0472,0.0118,0.0097,0.0035,0.0004,0.0016,0.001,0.0002,0.0363,0.075,0.0576,0.0305,0.0164,0.0193,0.0057,0.0022,0.2147,0.0006,0.0006,0.0002,0.0002,0.0,0.0,0.0,0.0027,0.2879,0.2526,0.121,0.0652,0.0791,0.0385,0.0203,0.8657,0.0061,0.0094,0.0057,0.0035,0.0053,0.0036,0.0008,0.0478,0.0019,0.0023,0.0009,0.0001,0.0005,0.0001,0.0003,0.0128,0.0002,0.0018,0.0006,0.0004,0.0006,0.0,0.0,0.0067,0.0111,0.0169,0.0073,0.0043,0.0077,0.0016,0.0004,0.0591,0.0003,0.0004,0.0004,0.0,0.0,0.0001,0.0,0.0023,0.0248,0.0364,0.0213,0.0134,0.0165,0.0068,0.0025,0.1329,0.3155,0.2902,0.1449,0.0788,0.0977,0.0474,0.0243,1.0
Kew,0.0556,0.0897,0.055,0.0387,0.0489,0.0357,0.02,0.3501,0.0118,0.0124,0.0075,0.0042,0.0085,0.0049,0.0016,0.0693,0.0133,0.0158,0.0086,0.0066,0.01,0.0059,0.002,0.0847,0.0459,0.0614,0.0519,0.0427,0.0637,0.0473,0.0241,0.3418,0.0006,0.0003,0.0005,0.0,0.0,0.0,0.0,0.0031,0.1351,0.1866,0.1341,0.0998,0.1417,0.1039,0.056,0.8482,0.0015,0.0112,0.0106,0.0083,0.0152,0.011,0.0049,0.0831,0.0008,0.0016,0.0002,0.0003,0.0004,0.0003,0.0002,0.0092,0.0004,0.001,0.0008,0.0009,0.0007,0.0002,0.0002,0.0098,0.0013,0.0035,0.0047,0.0048,0.0104,0.005,0.0008,0.0478,0.0,0.0002,0.0009,0.0,0.0,0.0,0.0,0.0015,0.0078,0.0219,0.0244,0.0209,0.0323,0.0212,0.0097,0.1541,0.1442,0.2083,0.1593,0.1254,0.1701,0.1249,0.0699,1.0
Kororoit,0.1342,0.1582,0.0822,0.0472,0.0588,0.0392,0.0214,0.5456,0.0143,0.013,0.0053,0.0039,0.0039,0.0016,0.0002,0.0574,0.0151,0.0137,0.0046,0.0026,0.0026,0.0005,0.0,0.0499,0.0455,0.0471,0.0262,0.0163,0.0184,0.0064,0.0026,0.1731,0.0005,0.0008,0.0001,0.0,0.0,0.0,0.0,0.0028,0.2195,0.2381,0.1231,0.0747,0.0937,0.0522,0.0279,0.8324,0.0099,0.0215,0.0121,0.0091,0.0121,0.0096,0.0036,0.089,0.0011,0.003,0.001,0.0007,0.0013,0.0,0.0,0.0138,0.0016,0.0013,0.0005,0.0007,0.0013,0.0,0.0,0.0115,0.0057,0.0078,0.0041,0.0042,0.0052,0.0011,0.0004,0.0409,0.0012,0.0014,0.0001,0.0002,0.0001,0.0,0.0002,0.0061,0.0247,0.0412,0.0262,0.0197,0.0256,0.013,0.0051,0.1666,0.244,0.2808,0.152,0.0963,0.1191,0.0684,0.0378,1.0
Lara,0.0417,0.0371,0.0192,0.0126,0.0157,0.0089,0.0029,0.1591,0.0096,0.0095,0.0065,0.0034,0.0049,0.0008,0.0002,0.0493,0.0159,0.0105,0.0051,0.0015,0.003,0.0011,0.0002,0.0493,0.129,0.1246,0.0685,0.0516,0.0568,0.018,0.0066,0.4662,0.0004,0.0006,0.0003,0.0,0.0,0.0,0.0,0.0019,0.2035,0.1934,0.1102,0.0795,0.0892,0.0349,0.0159,0.7325,0.0032,0.0052,0.0033,0.003,0.0036,0.0024,0.0009,0.0375,0.0014,0.0032,0.0009,0.0005,0.0012,0.0003,0.0,0.0181,0.0005,0.0011,0.0005,0.0,0.0008,0.0,0.0,0.0102,0.037,0.0477,0.0335,0.0221,0.0299,0.0056,0.0014,0.1928,0.0012,0.0009,0.0008,0.0007,0.0,0.0,0.0,0.0067,0.0498,0.0677,0.043,0.0326,0.0439,0.0099,0.0041,0.2672,0.2586,0.2593,0.158,0.1116,0.1351,0.0497,0.0208,1.0
Laverton,0.2146,0.1961,0.0864,0.0432,0.0539,0.0291,0.0157,0.6439,0.017,0.0112,0.0028,0.0017,0.0028,0.0001,0.0005,0.0434,0.0159,0.0111,0.0037,0.0011,0.0012,0.0003,0.0003,0.0428,0.0351,0.0235,0.0094,0.007,0.0065,0.0027,0.0003,0.0918,0.0005,0.0014,0.0004,0.0002,0.0,0.0,0.0,0.0045,0.2869,0.2506,0.1099,0.058,0.0686,0.0375,0.0192,0.8313,0.0159,0.0229,0.0139,0.0084,0.0131,0.0088,0.0037,0.1011,0.0017,0.002,0.0011,0.0001,0.0008,0.0004,0.0,0.011,0.0008,0.0014,0.0008,0.0002,0.0003,0.0002,0.0,0.0083,0.0052,0.0086,0.0035,0.0026,0.0035,0.0008,0.0002,0.0382,0.0005,0.0007,0.0003,0.0,0.0,0.0,0.0002,0.0039,0.031,0.0413,0.0256,0.0154,0.0233,0.0125,0.0052,0.1671,0.3162,0.2907,0.1388,0.0756,0.0908,0.0518,0.0282,1.0
Lowan,0.0153,0.0173,0.0049,0.003,0.0035,0.0009,0.0005,0.0566,0.0042,0.0022,0.001,0.0004,0.0009,0.0,0.0,0.0187,0.0075,0.0072,0.0025,0.0012,0.0019,0.0,0.0,0.0362,0.1856,0.1828,0.1172,0.0776,0.0968,0.0134,0.0006,0.6795,0.0008,0.0005,0.0,0.0003,0.0,0.0,0.0,0.003,0.2205,0.2201,0.1344,0.0905,0.1079,0.017,0.0012,0.7952,0.0005,0.0016,0.0,0.0,0.0002,0.0,0.0,0.0042,0.0006,0.001,0.0012,0.0,0.0002,0.0,0.0,0.0096,0.0003,0.0002,0.0005,0.0005,0.0002,0.0,0.0,0.0029,0.0325,0.0453,0.0332,0.0184,0.0208,0.0017,0.0,0.1786,0.0002,0.0008,0.0,0.0003,0.0,0.0,0.0,0.0026,0.0385,0.0537,0.0382,0.026,0.0276,0.0033,0.0,0.2037,0.2629,0.2777,0.1752,0.1215,0.1356,0.0243,0.0016,1.0
Macedon,0.008,0.0101,0.0052,0.0035,0.0053,0.0004,0.0003,0.0487,0.0148,0.0202,0.0132,0.0066,0.0086,0.0021,0.0,0.0806,0.0138,0.0205,0.008,0.0052,0.004,0.0005,0.0002,0.0654,0.1543,0.1865,0.1063,0.0719,0.0954,0.035,0.0097,0.6589,0.0003,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0026,0.1994,0.2428,0.1397,0.093,0.1258,0.0428,0.0154,0.8621,0.0,0.0006,0.0,0.0,0.0002,0.0,0.0,0.0049,0.0006,0.0029,0.0019,0.001,0.0008,0.0003,0.0,0.0159,0.0005,0.0008,0.0012,0.0004,0.0006,0.0003,0.0,0.0103,0.011,0.0245,0.0141,0.0121,0.0156,0.0037,0.0021,0.1005,0.0004,0.0,0.0003,0.0,0.0,0.0,0.0,0.0026,0.0154,0.0341,0.0252,0.0196,0.0226,0.0072,0.0025,0.1372,0.2183,0.2796,0.1659,0.1095,0.1504,0.0525,0.0197,1.0
Malvern,0.0427,0.0426,0.0168,0.0078,0.0126,0.0112,0.0049,0.1629,0.0178,0.0177,0.01,0.0052,0.0096,0.0055,0.0022,0.0959,0.0221,0.0188,0.0091,0.0063,0.0092,0.0052,0.0024,0.0987,0.0992,0.1023,0.073,0.0562,0.0828,0.0577,0.0294,0.5196,0.0002,0.0,0.0,0.0,0.0,0.0004,0.0,0.0012,0.1847,0.1944,0.1217,0.0872,0.1266,0.0929,0.0494,0.865,0.0008,0.0041,0.0023,0.0018,0.0024,0.0021,0.0007,0.029,0.0019,0.0011,0.0013,0.0006,0.002,0.0002,0.0012,0.0174,0.0006,0.0006,0.0008,0.0003,0.0005,0.0005,0.0,0.0109,0.0027,0.0078,0.0071,0.0039,0.0076,0.0074,0.0048,0.0703,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0009,0.0076,0.0188,0.0164,0.0097,0.0202,0.0176,0.0096,0.1348,0.1991,0.2173,0.1453,0.1045,0.1521,0.1135,0.0582,1.0
Melbourne,0.1602,0.1068,0.0388,0.0228,0.0237,0.0171,0.0064,0.4019,0.0188,0.0115,0.0077,0.0021,0.0044,0.0003,0.0,0.0638,0.0365,0.0181,0.0065,0.002,0.0042,0.001,0.0,0.0875,0.0555,0.0449,0.0211,0.013,0.0173,0.0105,0.0042,0.1959,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0006,0.2848,0.1997,0.0827,0.0507,0.0606,0.038,0.0135,0.7689,0.0132,0.0222,0.0116,0.0075,0.0177,0.0175,0.0111,0.1395,0.0007,0.0011,0.0,0.0012,0.001,0.0,0.0,0.0118,0.0003,0.0019,0.0004,0.0,0.0012,0.0004,0.0,0.0165,0.0007,0.0065,0.0034,0.0003,0.0039,0.0007,0.0004,0.0333,0.0012,0.0027,0.0014,0.0,0.0004,0.0,0.0,0.0069,0.0269,0.0409,0.0208,0.016,0.0299,0.0256,0.0151,0.2302,0.3221,0.2406,0.111,0.0751,0.0956,0.0721,0.0345,1.0
Melton,0.1291,0.1171,0.0508,0.0281,0.0301,0.0149,0.006,0.3833,0.0136,0.0103,0.0041,0.0012,0.0027,0.0008,0.0,0.0441,0.0108,0.0134,0.0041,0.0022,0.0029,0.0001,0.0,0.0446,0.0882,0.0846,0.0445,0.0291,0.0318,0.0087,0.0038,0.2952,0.0001,0.0005,0.0003,0.0001,0.0002,0.0,0.0,0.003,0.2459,0.2269,0.1095,0.0655,0.0734,0.0285,0.0135,0.7735,0.0116,0.0156,0.0086,0.0049,0.0069,0.0015,0.0011,0.0615,0.0028,0.0043,0.0014,0.0014,0.0015,0.0002,0.0,0.0189,0.0015,0.0014,0.0003,0.0,0.0006,0.0,0.0,0.0103,0.0302,0.0365,0.0196,0.0091,0.014,0.0021,0.0004,0.1278,0.0006,0.0007,0.0003,0.0002,0.0,0.0,0.0,0.0042,0.0512,0.0661,0.0371,0.0229,0.0308,0.0071,0.0025,0.225,0.2995,0.2945,0.1496,0.0925,0.1027,0.0386,0.0178,1.0
