district,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_0_MVs_pc,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_1_MVs_pc,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_2_MVs_pc,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_3_MVs_pc,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_4mo_MVs_pc,Num_MVs_per_dweling_Tot,Num_MVs_per_dweling_Tot_pc,Num_MVs_NS,Num_MVs_NS_pc,Total_dwelings,Total_dwelings_pc,Total_dwelings_total
Glen Waverley,1363.0,0.0482,9441.0,0.3335,12017.0,0.4246,3584.0,0.1266,1611.0,0.0569,28072.0,0.9918,229.0,0.0081,28305.0,1.0,28305.0
Greenvale,785.0,0.0354,5727.0,0.2582,8948.0,0.4034,3837.0,0.173,2506.0,0.113,21772.0,0.9814,332.0,0.015,22184.0,1.0,22184.0
Hastings,769.0,0.0315,7515.0,0.3073,9742.0,0.3984,3614.0,0.1478,2451.0,0.1002,24151.0,0.9877,236.0,0.0097,24451.0,1.0,24451.0
Hawthorn,2727.0,0.0968,12731.0,0.4519,9098.0,0.3229,2264.0,0.0804,1052.0,0.0373,27914.0,0.9908,211.0,0.0075,28173.0,1.0,28173.0
Ivanhoe,1798.0,0.071,10097.0,0.3989,9593.0,0.379,2450.0,0.0968,1107.0,0.0437,25057.0,0.9899,230.0,0.0091,25313.0,1.0,25313.0
Kalkallo,689.0,0.0245,8025.0,0.2856,12785.0,0.4549,3965.0,0.1411,2138.0,0.0761,27682.0,0.9851,410.0,0.0146,28102.0,1.0,28102.0
Kew,1473.0,0.0555,9699.0,0.3654,10594.0,0.3992,2988.0,0.1126,1504.0,0.0567,26263.0,0.9895,174.0,0.0066,26541.0,1.0,26541.0
Kororoit,992.0,0.0385,7675.0,0.2977,11052.0,0.4287,3755.0,0.1457,1848.0,0.0717,25428.0,0.9863,350.0,0.0136,25780.0,1.0,25780.0
Lara,1841.0,0.0704,9413.0,0.3598,9439.0,0.3608,3121.0,0.1193,1809.0,0.0692,25747.0,0.9842,396.0,0.0151,26160.0,1.0,26160.0
Laverton,2158.0,0.0726,11328.0,0.3809,11028.0,0.3708,3177.0,0.1068,1456.0,0.049,29103.0,0.9785,624.0,0.021,29743.0,1.0,29743.0
Lowan,1327.0,0.0475,8923.0,0.3195,9852.0,0.3527,4301.0,0.154,3040.0,0.1088,27318.0,0.978,475.0,0.017,27932.0,1.0,27932.0
Macedon,482.0,0.0207,6051.0,0.2593,9719.0,0.4164,4026.0,0.1725,2767.0,0.1186,23057.0,0.9879,261.0,0.0112,23340.0,1.0,23340.0
Malvern,2402.0,0.0914,11509.0,0.4377,8764.0,0.3333,2201.0,0.0837,1090.0,0.0415,25935.0,0.9864,257.0,0.0098,26293.0,1.0,26293.0
Melbourne,26624.0,0.4863,21177.0,0.3868,4979.0,0.0909,672.0,0.0123,244.0,0.0045,53771.0,0.9822,882.0,0.0161,54747.0,1.0,54747.0
Melton,1075.0,0.0403,8747.0,0.3281,10687.0,0.4009,3575.0,0.1341,2058.0,0.0772,26173.0,0.9818,461.0,0.0173,26659.0,1.0,26659.0
Mildura,1518.0,0.0585,8442.0,0.3251,9384.0,0.3614,3803.0,0.1464,2347.0,0.0904,25410.0,0.9785,591.0,0.0228,25968.0,1.0,25968.0
Mill Park,662.0,0.0291,6816.0,0.3,9350.0,0.4115,3401.0,0.1497,1997.0,0.0879,22390.0,0.9854,239.0,0.0105,22722.0,1.0,22722.0
Monbulk,533.0,0.0229,5975.0,0.2563,9939.0,0.4264,3848.0,0.1651,2826.0,0.1212,23112.0,0.9915,162.0,0.007,23309.0,1.0,23309.0
Mordialloc,1256.0,0.0482,8786.0,0.3368,11164.0,0.428,3160.0,0.1211,1600.0,0.0613,25869.0,0.9918,167.0,0.0064,26084.0,1.0,26084.0
Mornington,794.0,0.0329,7504.0,0.3109,10395.0,0.4306,3233.0,0.1339,1937.0,0.0802,23939.0,0.9918,205.0,0.0085,24138.0,1.0,24138.0
Morwell,2068.0,0.0724,10426.0,0.365,9940.0,0.348,3516.0,0.1231,1974.0,0.0691,28014.0,0.9808,496.0,0.0174,28561.0,1.0,28561.0
Mulgrave,1962.0,0.074,9154.0,0.3453,10009.0,0.3775,3169.0,0.1195,1716.0,0.0647,26021.0,0.9815,391.0,0.0147,26512.0,1.0,26512.0
Murray Plains,1265.0,0.0504,7804.0,0.3109,9228.0,0.3676,3789.0,0.1509,2440.0,0.0972,24587.0,0.9795,523.0,0.0208,25102.0,1.0,25102.0
Narracan,749.0,0.0301,7247.0,0.2911,9743.0,0.3914,3947.0,0.1586,2804.0,0.1126,24515.0,0.9848,289.0,0.0116,24893.0,1.0,24893.0
Narre Warren North,867.0,0.0339,7054.0,0.2757,10574.0,0.4133,4121.0,0.1611,2588.0,0.1012,25190.0,0.9846,289.0,0.0113,25583.0,1.0,25583.0
Narre Warren South,661.0,0.0252,6556.0,0.2501,11449.0,0.4368,4495.0,0.1715,2657.0,0.1014,25939.0,0.9895,283.0,0.0108,26214.0,1.0,26214.0
Nepean,907.0,0.0361,8981.0,0.3578,10133.0,0.4037,2979.0,0.1187,1558.0,0.0621,24685.0,0.9835,386.0,0.0154,25098.0,1.0,25098.0
Niddrie,1290.0,0.0506,8444.0,0.3314,10437.0,0.4097,3138.0,0.1232,1775.0,0.0697,25200.0,0.9891,261.0,0.0102,25477.0,1.0,25477.0
Northcote,3549.0,0.1278,13567.0,0.4884,7901.0,0.2844,1681.0,0.0605,722.0,0.026,27537.0,0.9913,172.0,0.0062,27780.0,1.0,27780.0
Oakleigh,3691.0,0.1079,14992.0,0.4384,11095.0,0.3244,2651.0,0.0775,1271.0,0.0372,33793.0,0.9882,374.0,0.0109,34198.0,1.0,34198.0
Ovens Valley,1090.0,0.0439,8101.0,0.3259,9367.0,0.3768,3440.0,0.1384,2261.0,0.091,24254.0,0.9757,572.0,0.023,24857.0,1.0,24857.0
Pakenham,715.0,0.0277,8642.0,0.3344,11112.0,0.43,3301.0,0.1277,1800.0,0.0697,25557.0,0.989,299.0,0.0116,25841.0,1.0,25841.0
Pascoe Vale,2833.0,0.1053,12253.0,0.4553,8393.0,0.3119,2122.0,0.0789,1036.0,0.0385,26567.0,0.9873,269.0,0.01,26910.0,1.0,26910.0
Point Cook,922.0,0.0308,10410.0,0.348,13035.0,0.4357,3508.0,0.1173,1594.0,0.0533,29508.0,0.9864,308.0,0.0103,29916.0,1.0,29916.0
Polwarth,833.0,0.0317,7853.0,0.2989,10778.0,0.4103,3821.0,0.1454,2433.0,0.0926,25859.0,0.9843,392.0,0.0149,26271.0,1.0,26271.0
Prahran,9181.0,0.2458,20691.0,0.5541,5938.0,0.159,841.0,0.0225,322.0,0.0086,36931.0,0.9889,452.0,0.0121,37345.0,1.0,37345.0
Preston,3372.0,0.1149,13156.0,0.4483,8801.0,0.2999,2318.0,0.079,1153.0,0.0393,28818.0,0.982,498.0,0.017,29346.0,1.0,29346.0
Richmond,6587.0,0.2119,16669.0,0.5363,6092.0,0.196,1075.0,0.0346,307.0,0.0099,30693.0,0.9875,373.0,0.012,31081.0,1.0,31081.0
Ringwood,1903.0,0.0627,12315.0,0.4055,11644.0,0.3834,2781.0,0.0916,1416.0,0.0466,30010.0,0.9882,364.0,0.012,30367.0,1.0,30367.0
Ripon,1012.0,0.0381,7873.0,0.2964,9797.0,0.3689,4322.0,0.1627,3129.0,0.1178,26152.0,0.9847,452.0,0.017,26559.0,1.0,26559.0
Rowville,663.0,0.0272,6340.0,0.26,10716.0,0.4394,3977.0,0.1631,2385.0,0.0978,24175.0,0.9913,151.0,0.0062,24388.0,1.0,24388.0
Sandringham,1443.0,0.058,9827.0,0.3953,9801.0,0.3943,2397.0,0.0964,1118.0,0.045,24617.0,0.9903,166.0,0.0067,24859.0,1.0,24859.0
Shepparton,1345.0,0.0492,8932.0,0.3269,10019.0,0.3667,4043.0,0.148,2437.0,0.0892,26719.0,0.978,576.0,0.0211,27320.0,1.0,27320.0
South Barwon,833.0,0.032,8075.0,0.3102,11648.0,0.4475,3354.0,0.1289,1838.0,0.0706,25781.0,0.9905,198.0,0.0076,26029.0,1.0,26029.0
South-West Coast,1269.0,0.0465,8888.0,0.3256,10525.0,0.3856,3830.0,0.1403,2369.0,0.0868,26843.0,0.9834,396.0,0.0145,27297.0,1.0,27297.0
St Albans,1918.0,0.08,8308.0,0.3466,8228.0,0.3432,3323.0,0.1386,1660.0,0.0692,23414.0,0.9767,486.0,0.0203,23972.0,1.0,23972.0
Sunbury,944.0,0.0404,7460.0,0.3196,9478.0,0.406,3308.0,0.1417,1933.0,0.0828,23082.0,0.9889,212.0,0.0091,23342.0,1.0,23342.0
Sydenham,623.0,0.0261,5941.0,0.2485,9887.0,0.4135,4220.0,0.1765,2795.0,0.1169,23624.0,0.988,240.0,0.01,23912.0,1.0,23912.0
Tarneit,971.0,0.0347,9409.0,0.3358,11656.0,0.416,3542.0,0.1264,1918.0,0.0685,27575.0,0.9843,407.0,0.0145,28016.0,1.0,28016.0
Thomastown,1649.0,0.064,9083.0,0.3524,10109.0,0.3922,3017.0,0.117,1415.0,0.0549,25336.0,0.9829,331.0,0.0128,25777.0,1.0,25777.0
Warrandyte,675.0,0.0269,6862.0,0.2735,10913.0,0.4349,3835.0,0.1528,2625.0,0.1046,24813.0,0.9889,161.0,0.0064,25092.0,1.0,25092.0
Wendouree,1928.0,0.0697,11004.0,0.398,10011.0,0.3621,2907.0,0.1052,1368.0,0.0495,27277.0,0.9867,379.0,0.0137,27646.0,1.0,27646.0
Werribee,1435.0,0.0509,10775.0,0.3823,10751.0,0.3815,3133.0,0.1112,1585.0,0.0562,27784.0,0.9858,359.0,0.0127,28184.0,1.0,28184.0
Williamstown,1967.0,0.0778,10196.0,0.4035,9567.0,0.3786,2238.0,0.0886,1025.0,0.0406,24990.0,0.9888,257.0,0.0102,25272.0,1.0,25272.0
Yan Yean,352.0,0.0151,6333.0,0.2714,10721.0,0.4594,3477.0,0.149,2105.0,0.0902,23050.0,0.9877,223.0,0.0096,23336.0,1.0,23336.0
