district,census_variable,value
Albert Park,M_0_cond_0_14,3454.0
Ashwood,M_0_cond_0_14,6030.0
Bass,M_0_cond_0_14,4700.0
Bayswater,M_0_cond_0_14,5436.0
Bellarine,M_0_cond_0_14,4853.0
Benambra,M_0_cond_0_14,5008.0
Bendigo East,M_0_cond_0_14,5742.0
Bendigo West,M_0_cond_0_14,4287.0
Bentleigh,M_0_cond_0_14,6664.0
Berwick,M_0_cond_0_14,8266.0
Box Hill,M_0_cond_0_14,5651.0
Brighton,M_0_cond_0_14,4795.0
Broadmeadows,M_0_cond_0_14,6614.0
Brunswick,M_0_cond_0_14,3282.0
Bulleen,M_0_cond_0_14,5129.0
Bundoora,M_0_cond_0_14,5063.0
Carrum,M_0_cond_0_14,6190.0
Caulfield,M_0_cond_0_14,5129.0
Clarinda,M_0_cond_0_14,5316.0
Cranbourne,M_0_cond_0_14,9480.0
Croydon,M_0_cond_0_14,5917.0
Dandenong,M_0_cond_0_14,6835.0
Eildon,M_0_cond_0_14,4517.0
Eltham,M_0_cond_0_14,5312.0
Essendon,M_0_cond_0_14,4691.0
Eureka,M_0_cond_0_14,5880.0
Euroa,M_0_cond_0_14,4174.0
Evelyn,M_0_cond_0_14,5637.0
Footscray,M_0_cond_0_14,4921.0
Frankston,M_0_cond_0_14,4644.0
Geelong,M_0_cond_0_14,5124.0
Gippsland East,M_0_cond_0_14,4021.0
Gippsland South,M_0_cond_0_14,4467.0
Glen Waverley,M_0_cond_0_14,6151.0
Greenvale,M_0_cond_0_14,6992.0
Hastings,M_0_cond_0_14,5032.0
Hawthorn,M_0_cond_0_14,4496.0
Ivanhoe,M_0_cond_0_14,4868.0
Kalkallo,M_0_cond_0_14,11194.0
Kew,M_0_cond_0_14,5408.0
Kororoit,M_0_cond_0_14,8505.0
Lara,M_0_cond_0_14,4795.0
Laverton,M_0_cond_0_14,9050.0
Lowan,M_0_cond_0_14,4673.0
Macedon,M_0_cond_0_14,4943.0
Malvern,M_0_cond_0_14,4062.0
Melbourne,M_0_cond_0_14,3486.0
Melton,M_0_cond_0_14,8355.0
Mildura,M_0_cond_0_14,4925.0
Mill Park,M_0_cond_0_14,5639.0
Monbulk,M_0_cond_0_14,5232.0
Mordialloc,M_0_cond_0_14,6088.0
Mornington,M_0_cond_0_14,4933.0
Morwell,M_0_cond_0_14,4864.0
Mulgrave,M_0_cond_0_14,5382.0
Murray Plains,M_0_cond_0_14,4315.0
Narracan,M_0_cond_0_14,5272.0
Narre Warren North,M_0_cond_0_14,6235.0
Narre Warren South,M_0_cond_0_14,9038.0
Nepean,M_0_cond_0_14,3471.0
Niddrie,M_0_cond_0_14,5182.0
Northcote,M_0_cond_0_14,4338.0
Oakleigh,M_0_cond_0_14,5623.0
Ovens Valley,M_0_cond_0_14,4174.0
Pakenham,M_0_cond_0_14,7686.0
Pascoe Vale,M_0_cond_0_14,4841.0
Point Cook,M_0_cond_0_14,9994.0
Polwarth,M_0_cond_0_14,5523.0
Prahran,M_0_cond_0_14,2249.0
Preston,M_0_cond_0_14,4977.0
Richmond,M_0_cond_0_14,2795.0
Ringwood,M_0_cond_0_14,6229.0
Ripon,M_0_cond_0_14,4673.0
Rowville,M_0_cond_0_14,5264.0
Sandringham,M_0_cond_0_14,4548.0
Shepparton,M_0_cond_0_14,5714.0
South Barwon,M_0_cond_0_14,5991.0
South-West Coast,M_0_cond_0_14,4945.0
St Albans,M_0_cond_0_14,5068.0
Sunbury,M_0_cond_0_14,4704.0
Sydenham,M_0_cond_0_14,6682.0
Tarneit,M_0_cond_0_14,9967.0
Thomastown,M_0_cond_0_14,7283.0
Warrandyte,M_0_cond_0_14,5838.0
Wendouree,M_0_cond_0_14,4780.0
Werribee,M_0_cond_0_14,8177.0
Williamstown,M_0_cond_0_14,5454.0
Yan Yean,M_0_cond_0_14,7905.0
Albert Park,M_0_cond_0_14_pc,0.0467
Ashwood,M_0_cond_0_14_pc,0.0748
Bass,M_0_cond_0_14_pc,0.0713
Bayswater,M_0_cond_0_14_pc,0.0745
Bellarine,M_0_cond_0_14_pc,0.0698
Benambra,M_0_cond_0_14_pc,0.075
Bendigo East,M_0_cond_0_14_pc,0.0799
Bendigo West,M_0_cond_0_14_pc,0.0675
Bentleigh,M_0_cond_0_14_pc,0.0869
Berwick,M_0_cond_0_14_pc,0.1021
Box Hill,M_0_cond_0_14_pc,0.0667
Brighton,M_0_cond_0_14_pc,0.0727
Broadmeadows,M_0_cond_0_14_pc,0.0821
Brunswick,M_0_cond_0_14_pc,0.0481
Bulleen,M_0_cond_0_14_pc,0.0688
Bundoora,M_0_cond_0_14_pc,0.0728
Carrum,M_0_cond_0_14_pc,0.0835
Caulfield,M_0_cond_0_14_pc,0.0717
Clarinda,M_0_cond_0_14_pc,0.0722
Cranbourne,M_0_cond_0_14_pc,0.1087
Croydon,M_0_cond_0_14_pc,0.0794
Dandenong,M_0_cond_0_14_pc,0.0762
Eildon,M_0_cond_0_14_pc,0.0682
Eltham,M_0_cond_0_14_pc,0.08
Essendon,M_0_cond_0_14_pc,0.0668
Eureka,M_0_cond_0_14_pc,0.0788
Euroa,M_0_cond_0_14_pc,0.0627
Evelyn,M_0_cond_0_14_pc,0.0815
Footscray,M_0_cond_0_14_pc,0.0678
Frankston,M_0_cond_0_14_pc,0.0679
Geelong,M_0_cond_0_14_pc,0.0713
Gippsland East,M_0_cond_0_14_pc,0.0629
Gippsland South,M_0_cond_0_14_pc,0.0679
Glen Waverley,M_0_cond_0_14_pc,0.0746
Greenvale,M_0_cond_0_14_pc,0.091
Hastings,M_0_cond_0_14_pc,0.0756
Hawthorn,M_0_cond_0_14_pc,0.0636
Ivanhoe,M_0_cond_0_14_pc,0.0735
Kalkallo,M_0_cond_0_14_pc,0.1172
Kew,M_0_cond_0_14_pc,0.0732
Kororoit,M_0_cond_0_14_pc,0.0975
Lara,M_0_cond_0_14_pc,0.0681
Laverton,M_0_cond_0_14_pc,0.0961
Lowan,M_0_cond_0_14_pc,0.0683
Macedon,M_0_cond_0_14_pc,0.0769
Malvern,M_0_cond_0_14_pc,0.0633
Melbourne,M_0_cond_0_14_pc,0.0294
Melton,M_0_cond_0_14_pc,0.1009
Mildura,M_0_cond_0_14_pc,0.0706
Mill Park,M_0_cond_0_14_pc,0.082
Monbulk,M_0_cond_0_14_pc,0.0793
Mordialloc,M_0_cond_0_14_pc,0.0841
Mornington,M_0_cond_0_14_pc,0.0754
Morwell,M_0_cond_0_14_pc,0.0676
Mulgrave,M_0_cond_0_14_pc,0.0699
Murray Plains,M_0_cond_0_14_pc,0.0665
Narracan,M_0_cond_0_14_pc,0.0774
Narre Warren North,M_0_cond_0_14_pc,0.0791
Narre Warren South,M_0_cond_0_14_pc,0.1001
Nepean,M_0_cond_0_14_pc,0.0559
Niddrie,M_0_cond_0_14_pc,0.0751
Northcote,M_0_cond_0_14_pc,0.0643
Oakleigh,M_0_cond_0_14_pc,0.0625
Ovens Valley,M_0_cond_0_14_pc,0.066
