district,census_variable,value,rank
Albert Park,M_0_149_1PFNC_und15_n,0.0,1.0
Bayswater,M_0_149_1PFNC_und15_n,0.0,2.0
Benambra,M_0_149_1PFNC_und15_n,0.0,3.0
Berwick,M_0_149_1PFNC_und15_n,0.0,4.0
Brunswick,M_0_149_1PFNC_und15_n,0.0,5.0
Caulfield,M_0_149_1PFNC_und15_n,0.0,6.0
Eildon,M_0_149_1PFNC_und15_n,0.0,7.0
Essendon,M_0_149_1PFNC_und15_n,0.0,8.0
Eureka,M_0_149_1PFNC_und15_n,0.0,9.0
Gippsland South,M_0_149_1PFNC_und15_n,0.0,10.0
Hastings,M_0_149_1PFNC_und15_n,0.0,11.0
Kalkallo,M_0_149_1PFNC_und15_n,0.0,12.0
Lara,M_0_149_1PFNC_und15_n,0.0,13.0
Lowan,M_0_149_1PFNC_und15_n,0.0,14.0
Melton,M_0_149_1PFNC_und15_n,0.0,15.0
Murray Plains,M_0_149_1PFNC_und15_n,0.0,16.0
Narracan,M_0_149_1PFNC_und15_n,0.0,17.0
Northcote,M_0_149_1PFNC_und15_n,0.0,18.0
Oakleigh,M_0_149_1PFNC_und15_n,0.0,19.0
Ovens Valley,M_0_149_1PFNC_und15_n,0.0,20.0
Polwarth,M_0_149_1PFNC_und15_n,0.0,21.0
Prahran,M_0_149_1PFNC_und15_n,0.0,22.0
Richmond,M_0_149_1PFNC_und15_n,0.0,23.0
Rowville,M_0_149_1PFNC_und15_n,0.0,24.0
Shepparton,M_0_149_1PFNC_und15_n,0.0,25.0
South-West Coast,M_0_149_1PFNC_und15_n,0.0,26.0
Wendouree,M_0_149_1PFNC_und15_n,0.0,27.0
Werribee,M_0_149_1PFNC_und15_n,0.0,28.0
Sunbury,M_0_149_1PFNC_und15_n,1.0,29.0
Bass,M_0_149_1PFNC_und15_n,3.0,30.0
Bellarine,M_0_149_1PFNC_und15_n,3.0,31.0
Bendigo East,M_0_149_1PFNC_und15_n,3.0,32.0
Bendigo West,M_0_149_1PFNC_und15_n,3.0,33.0
Brighton,M_0_149_1PFNC_und15_n,3.0,34.0
Eltham,M_0_149_1PFNC_und15_n,3.0,35.0
Gippsland East,M_0_149_1PFNC_und15_n,3.0,36.0
Mildura,M_0_149_1PFNC_und15_n,3.0,37.0
Mill Park,M_0_149_1PFNC_und15_n,3.0,38.0
Monbulk,M_0_149_1PFNC_und15_n,3.0,39.0
Niddrie,M_0_149_1PFNC_und15_n,3.0,40.0
Pakenham,M_0_149_1PFNC_und15_n,3.0,41.0
South Barwon,M_0_149_1PFNC_und15_n,3.0,42.0
Broadmeadows,M_0_149_1PFNC_und15_n,4.0,43.0
Melbourne,M_0_149_1PFNC_und15_n,4.0,44.0
