district,R_1_74_LT_Real_estate_agent_pc,R_1_74_LT_Ste_terr_hsg_auth_pc,R_1_74_LT_com_hou_pro_pc,R_1_74_LT_Psn_not_Sme_hhd_pc,R_1_74_LT_Other_Lld_type_pc,R_1_74_LT_Lld_type_ns_pc,R_1_74_Tot_pc,R_75_99_LT_Real_estate_agent_pc,R_75_99_LT_Ste_terr_hsg_auth_pc,R_75_99_LT_com_hou_pro_pc,R_75_99_LT_Psn_not_Sme_hhd_pc,R_75_99_LT_Other_Lld_type_pc,R_75_99_LT_Lld_type_ns_pc,R_75_99_Tot_pc,R_100_149_LT_Real_eSte_agent_pc,R_100_149_LT_St_ter_hsg_aut_pc,R_100_149_LT_com_hou_pro_pc,R_100_149_LT_Psn_not_Sme_hhd_pc,R_100_149_LT_Other_Lld_type_pc,R_100_149_LT_Lld_type_ns_pc,R_100_149_Tot_pc,R_150_199_LT_Real_eSte_agent_pc,R_150_199_LT_Ste_ter_hsg_aut_pc,R_150_199_LT_com_hou_pro_pc,R_150_199_LT_Psn_not_Sme_hhd_pc,R_150_199_LT_Other_Lld_type_pc,R_150_199_LT_Lld_type_ns_pc,R_150_199_Tot_pc,R_200_224_LT_Real_eSte_agent_pc,R_200_224_LT_Ste_ter_hsg_aut_pc,R_200_224_LT_com_hou_pro_pc,R_200_224_LT_Psn_not_Sme_hhd_pc,R_200_224_LT_Other_Lld_type_pc,R_200_224_LT_Lld_type_ns_pc,R_200_224_Tot_pc,R_225_274_LT_Real_eSte_agent_pc,R_225_274_LT_Ste_ter_hsg_aut_pc,R_225_274_LT_com_hou_pro_pc,R_225_274_LT_Psn_not_Sme_hhd_pc,R_225_274_LT_Other_Lld_type_pc,R_225_274_LT_Lld_type_ns_pc,R_225_274_Tot_pc,R_275_349_LT_Real_eSte_agent_pc,R_275_349_LT_Ste_ter_hsg_aut_pc,R_275_349_LT_com_hou_pro_pc,R_275_349_LT_Psn_not_Sme_hhd_pc,R_275_349_LT_Other_Lld_type_pc,R_275_349_LT_Lld_type_ns_pc,R_275_349_Tot_pc,R_350_449_LT_Real_eSte_agent_pc,R_350_449_LT_Ste_ter_hsg_aut_pc,R_350_449_LT_com_hou_pro_pc,R_350_449_LT_Psn_not_Sme_hhd_pc,R_350_449_LT_Other_Lld_type_pc,R_350_449_LT_Lld_type_ns_pc,R_350_449_Tot_pc,R_450_549_LT_Real_eSte_agent_pc,R_450_549_LT_Ste_ter_hsg_aut_pc,R_450_549_LT_com_hou_pro_pc,R_450_549_LT_Psn_not_Sme_hhd_pc,R_450_549_LT_Other_Lld_type_pc,R_450_549_LT_Lld_type_ns_pc,R_450_549_Tot_pc,R_550_649_LT_Real_eSte_agent_pc,R_550_649_LT_Ste_ter_hsg_aut_pc,R_550_649_LT_com_hou_pro_pc,R_550_649_LT_Psn_not_Sme_hhd_pc,R_550_649_LT_Other_Lld_type_pc,R_550_649_LT_Lld_type_ns_pc,R_550_649_Tot_pc,R_650_749_LT_Real_eSte_agent_pc,R_650_749_LT_Ste_ter_hsg_aut_pc,R_650_749_LT_com_hou_pro_pc,R_650_749_LT_Psn_not_Sme_hhd_pc,R_650_749_LT_Other_Lld_type_pc,R_650_749_LT_Lld_type_ns_pc,R_650_749_Tot_pc,R_750_849_LT_Real_eSte_agent_pc,R_750_849_LT_Ste_ter_hsg_aut_pc,R_750_849_LT_com_hou_pro_pc,R_750_849_LT_Psn_not_Sme_hhd_pc,R_750_849_LT_Other_Lld_type_pc,R_750_849_LT_Lld_type_ns_pc,R_750_849_Tot_pc,R_850_949_LT_Real_estat_agent_pc,R_850_949_LT_Ste_ter_hsg_aut_pc,R_850_949_LT_com_hou_pro_pc,R_850_949_LT_Psn_not_Sme_hhd_pc,R_850_949_LT_Other_Lld_type_pc,R_850_949_LT_Lld_type_ns_pc,R_850_949_Tot_pc,R_950_over_LT_Real_eSte_agent_pc,R_950_over_LT_Ste_ter_hsg_aut_pc,R_950_ovr_LT_com_hou_pro_pc,R_950_over_LT_Psn_not_Sme_hhd_pc,R_950_over_LT_Other_Lld_type_pc,R_950_over_LT_Lld_type_ns_pc,R_950_over_Tot_pc,Rent_ns_LT_Real_eSte_agent_pc,Rent_ns_LT_Ste_ter_hsg_auth_pc,Rent_ns_LT_com_hou_pro_pc,Rent_ns_LT_Psn_not_Sme_hhd_pc,Rent_ns_LT_Other_Lld_type_pc,Rent_ns_LT_Lld_type_ns_pc,Rent_ns_Tot_pc,Tot_LT_Real_eSte_agent_pc,Tot_LT_Ste_ter_hsg_auth_pc,Tot_LT_com_hou_pro_pc,Tot_LT_Psn_not_Sme_hhd_pc,Tot_LT_Other_Lld_type_pc,Tot_LT_Lld_type_ns_pc,Tot_Tot_pc,Tot_Tot_total
Bundoora,0.0,0.0014,0.0,0.0005,0.0,0.0,0.0014,0.0,0.0005,0.0,0.0,0.0,0.0,0.0009,0.0,0.0231,0.0,0.0019,0.0005,0.0,0.0316,0.0033,0.0064,0.0012,0.0076,0.0,0.0,0.0282,0.0031,0.0033,0.0005,0.0006,0.0,0.0,0.0112,0.0094,0.0009,0.0034,0.0067,0.0033,0.0,0.0295,0.1224,0.0011,0.0006,0.0271,0.0037,0.0,0.1646,0.3459,0.002,0.0,0.0276,0.0031,0.0,0.3969,0.1367,0.0005,0.0,0.008,0.0,0.0,0.1673,0.0335,0.0,0.0,0.0011,0.0,0.0,0.0412,0.0064,0.0,0.0,0.0006,0.0,0.0,0.0067,0.0023,0.0,0.0,0.0,0.0,0.0,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0022,0.0,0.0,0.0,0.0,0.0,0.0031,0.0094,0.0062,0.0005,0.0041,0.0019,0.0,0.0371,0.7246,0.0672,0.0108,0.1518,0.0207,0.0011,1.0,6415.0
Carrum,0.0,0.0008,0.0,0.0,0.0,0.0,0.0019,0.0,0.0005,0.0006,0.0,0.0,0.0,0.0015,0.0,0.0154,0.0015,0.0011,0.0008,0.0,0.0221,0.0,0.006,0.0031,0.0031,0.0037,0.0,0.0233,0.0014,0.0017,0.0014,0.0032,0.0012,0.0,0.0127,0.0091,0.0026,0.002,0.0088,0.0108,0.0,0.0373,0.0884,0.0009,0.0006,0.0222,0.0086,0.0,0.1463,0.3721,0.0,0.0,0.0364,0.0026,0.0005,0.4334,0.1532,0.0,0.0,0.0057,0.0,0.0,0.1729,0.035,0.0,0.0,0.0006,0.0,0.0,0.0418,0.017,0.0,0.0,0.0,0.0,0.0,0.0191,0.0029,0.0,0.0,0.0,0.0,0.0,0.0035,0.0006,0.0,0.0,0.0,0.0,0.0,0.0006,0.0035,0.0,0.0,0.0005,0.0,0.0,0.004,0.0094,0.0017,0.0,0.0029,0.0006,0.0014,0.0326,0.7454,0.0504,0.0131,0.1444,0.0349,0.0028,1.0,6482.0
Caulfield,0.0,0.0009,0.0003,0.0,0.0,0.0,0.0031,0.0,0.0004,0.0008,0.0,0.0,0.0,0.0024,0.0003,0.0076,0.002,0.002,0.0,0.0,0.0166,0.0044,0.0008,0.0043,0.0038,0.0,0.0,0.0168,0.004,0.0008,0.0008,0.0028,0.0,0.0,0.0134,0.0448,0.0,0.0008,0.0056,0.0,0.0,0.0541,0.1328,0.0003,0.0,0.0147,0.0003,0.0,0.1523,0.24,0.0004,0.0,0.0219,0.0,0.0,0.2668,0.1531,0.0,0.0,0.0169,0.0,0.0,0.1774,0.0803,0.0,0.0,0.0065,0.0,0.0,0.0953,0.0428,0.0,0.0,0.0021,0.0,0.0,0.0495,0.0244,0.0,0.0,0.0024,0.0,0.0,0.0326,0.0117,0.0,0.0,0.0008,0.0,0.0,0.0153,0.0269,0.0,0.0,0.0023,0.0,0.0,0.032,0.0097,0.0003,0.0003,0.0038,0.0,0.0003,0.0245,0.8095,0.0182,0.0101,0.1454,0.0051,0.0011,1.0,11636.0
Clarinda,0.0,0.0006,0.0,0.0,0.0,0.0,0.0011,0.0,0.0027,0.0,0.0,0.0,0.0,0.0027,0.0013,0.0242,0.0029,0.0027,0.0013,0.0,0.0395,0.0,0.0086,0.0033,0.004,0.0029,0.0,0.0252,0.0005,0.0027,0.001,0.0016,0.0013,0.0,0.0147,0.0124,0.0013,0.0006,0.0061,0.0022,0.0,0.0288,0.1138,0.0021,0.0,0.0244,0.0051,0.0,0.1648,0.2794,0.0021,0.0,0.0349,0.0053,0.0,0.3486,0.1452,0.0,0.0,0.0088,0.0014,0.0,0.1734,0.055,0.0,0.0,0.0019,0.0,0.0,0.0653,0.0172,0.0,0.0,0.0,0.0,0.0,0.0185,0.0046,0.0,0.0,0.0,0.0,0.0,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0005,0.0,0.0,0.003,0.0056,0.0016,0.0006,0.0105,0.0005,0.0016,0.0418,0.6846,0.0752,0.0118,0.1707,0.0332,0.0021,1.0,6274.0
Cranbourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,0.0,0.0011,0.0007,0.0,0.0096,0.0004,0.0052,0.0004,0.001,0.0,0.0,0.0118,0.0006,0.0004,0.0,0.0007,0.0004,0.0,0.0069,0.0069,0.0032,0.0,0.005,0.0,0.0,0.02,0.1349,0.0042,0.0,0.0294,0.0017,0.0004,0.186,0.507,0.0,0.0,0.0375,0.004,0.0,0.5659,0.0757,0.0,0.0,0.0016,0.0,0.0,0.0876,0.0096,0.0,0.0,0.0004,0.0,0.0,0.0113,0.0004,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0014,0.0,0.0,0.0,0.0,0.0,0.0014,0.0108,0.0016,0.0,0.0019,0.0,0.0,0.0261,0.7838,0.0345,0.0046,0.1346,0.0181,0.0013,1.0,6961.0
Croydon,0.0,0.0012,0.0,0.0,0.0,0.0,0.0016,0.0,0.0011,0.0,0.0,0.0,0.0,0.0019,0.0,0.0259,0.0009,0.0014,0.0006,0.0,0.0326,0.0,0.009,0.0023,0.0025,0.0,0.0,0.0231,0.0005,0.0023,0.0006,0.005,0.0,0.0,0.0136,0.0112,0.0034,0.0012,0.0068,0.0,0.0,0.0318,0.1216,0.0026,0.0023,0.0329,0.0005,0.0006,0.164,0.3637,0.002,0.0006,0.0465,0.0,0.0,0.4198,0.1608,0.0,0.0,0.0101,0.0,0.0,0.1718,0.0248,0.0,0.0,0.0,0.0,0.0,0.0276,0.0062,0.0,0.0,0.0,0.0,0.0,0.007,0.0017,0.0,0.0,0.0,0.0,0.0,0.0017,0.0006,0.0,0.0,0.0,0.0,0.0,0.0006,0.0023,0.0,0.0,0.0,0.0,0.0,0.0042,0.0078,0.004,0.0,0.0042,0.0,0.0,0.035,0.7291,0.078,0.0129,0.1473,0.0071,0.0012,1.0,6450.0
Dandenong,0.0005,0.0036,0.0003,0.0,0.0,0.0,0.0051,0.0,0.0036,0.0004,0.0,0.0,0.0,0.0061,0.0016,0.0419,0.0017,0.0018,0.0008,0.0,0.0591,0.0037,0.0157,0.0039,0.0037,0.0011,0.0,0.036,0.0043,0.0045,0.0005,0.0014,0.001,0.0,0.0199,0.0587,0.0081,0.0025,0.0107,0.0031,0.0,0.0961,0.246,0.0043,0.0003,0.0419,0.0098,0.0003,0.319,0.2548,0.0043,0.0004,0.0351,0.0123,0.0003,0.3202,0.0325,0.0,0.0,0.0036,0.0004,0.0,0.045,0.0014,0.0,0.0,0.0,0.0,0.0,0.0027,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0016,0.008,0.0059,0.0013,0.0053,0.0006,0.0014,0.0417,0.6557,0.1162,0.0149,0.1523,0.044,0.0053,1.0,11785.0
Eildon,0.0,0.0022,0.0016,0.0,0.0,0.0,0.0092,0.0,0.0022,0.0,0.0009,0.0,0.0,0.0032,0.0,0.0281,0.0032,0.0085,0.0054,0.0,0.0629,0.007,0.0044,0.0035,0.012,0.0054,0.0,0.0468,0.0133,0.0047,0.0016,0.0269,0.0066,0.0,0.0604,0.0398,0.0022,0.0,0.0304,0.0025,0.0,0.0911,0.1376,0.0028,0.0,0.0553,0.0009,0.0,0.2204,0.1932,0.0,0.0,0.0471,0.0,0.0,0.2736,0.038,0.0,0.0,0.0032,0.0,0.0,0.0512,0.0047,0.0,0.0,0.0,0.0,0.0,0.0076,0.0019,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0066,0.0,0.0022,0.0066,0.0098,0.0,0.0433,0.5386,0.0712,0.012,0.303,0.0528,0.0016,1.0,3162.0
Eltham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0111,0.0045,0.0011,0.0,0.0,0.0249,0.0,0.0011,0.0115,0.0056,0.003,0.0033,0.0304,0.0,0.0011,0.0011,0.0,0.0,0.0,0.0093,0.0041,0.0,0.0019,0.0041,0.0,0.0,0.0197,0.0419,0.0,0.0,0.0193,0.0,0.0,0.0913,0.256,0.0015,0.0,0.0275,0.0,0.0,0.3102,0.1989,0.0,0.0,0.0137,0.0,0.0,0.2364,0.0753,0.0,0.0,0.0026,0.0,0.0,0.0868,0.023,0.0,0.0,0.0,0.0,0.0,0.0271,0.0026,0.0,0.0,0.0,0.0,0.0,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0019,0.0045,0.0022,0.0,0.0045,0.0,0.0011,0.0256,0.698,0.0401,0.0197,0.1826,0.0071,0.0045,1.0,2695.0
Essendon,0.0,0.0059,0.0,0.0,0.0,0.0,0.0071,0.0,0.011,0.0,0.0003,0.0,0.0,0.012,0.0004,0.051,0.0003,0.001,0.0003,0.0,0.0572,0.0011,0.0188,0.0024,0.0031,0.0,0.0,0.0329,0.0036,0.0096,0.0025,0.0024,0.0,0.0,0.0224,0.0338,0.01,0.0019,0.0072,0.0004,0.0,0.0588,0.1521,0.0107,0.0012,0.0176,0.0,0.0,0.1853,0.2403,0.0021,0.0003,0.0224,0.0009,0.0,0.2742,0.1268,0.0004,0.0,0.0084,0.0,0.0,0.1419,0.0636,0.0,0.0,0.0021,0.0,0.0,0.0723,0.0254,0.0,0.0,0.0,0.0,0.0,0.0289,0.0124,0.0,0.0,0.0008,0.0,0.0,0.0135,0.0032,0.0,0.0,0.0003,0.0,0.0,0.0047,0.0058,0.0,0.0,0.0,0.0,0.0,0.0067,0.0063,0.0078,0.0006,0.0038,0.0,0.0005,0.0281,0.7221,0.1387,0.0131,0.1029,0.0046,0.0009,1.0,11200.0
Eureka,0.0,0.0015,0.0,0.0,0.0,0.0,0.0034,0.0007,0.0038,0.0,0.0,0.0,0.0,0.0049,0.002,0.0322,0.0015,0.0057,0.0,0.0,0.0493,0.0098,0.0142,0.0103,0.0128,0.0,0.0,0.0627,0.0169,0.007,0.0021,0.0141,0.0,0.0,0.0501,0.0887,0.0098,0.0065,0.029,0.0015,0.0,0.1448,0.243,0.0029,0.0013,0.0383,0.0015,0.0,0.3129,0.2206,0.0005,0.0,0.0223,0.0,0.0,0.259,0.0227,0.0,0.0,0.0,0.0,0.0,0.0303,0.0029,0.0,0.0,0.0,0.0,0.0,0.0034,0.0005,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046,0.0008,0.0007,0.0033,0.0029,0.0005,0.0306,0.6693,0.0938,0.0259,0.1892,0.0183,0.002,1.0,6111.0
Euroa,0.0,0.0035,0.0014,0.0,0.0,0.0,0.0083,0.0,0.0026,0.0,0.001,0.0012,0.0,0.0065,0.003,0.0426,0.0057,0.0093,0.0065,0.0008,0.083,0.0361,0.0185,0.0026,0.0199,0.0063,0.0,0.0978,0.0302,0.0035,0.001,0.0284,0.003,0.0,0.0795,0.0929,0.0101,0.0008,0.0333,0.0229,0.0,0.1828,0.1554,0.0059,0.0,0.0377,0.0122,0.0,0.2349,0.1298,0.0,0.0008,0.013,0.0045,0.0,0.1568,0.0132,0.0,0.0,0.0,0.0,0.0,0.0209,0.0,0.0,0.0,0.0,0.0006,0.0,0.0012,0.0,0.0,0.0,0.0006,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0006,0.0039,0.0049,0.0016,0.0085,0.0079,0.0006,0.0566,0.5192,0.1126,0.0195,0.2392,0.0913,0.0028,1.0,5071.0
Evelyn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0009,0.0009,0.0,0.0,0.005,0.0,0.0155,0.0009,0.0015,0.0,0.0,0.0284,0.0009,0.0047,0.0026,0.0067,0.0023,0.0,0.0246,0.0044,0.0,0.0,0.0029,0.0,0.0,0.0155,0.0123,0.0,0.0018,0.0079,0.0023,0.0,0.0348,0.0608,0.0009,0.0,0.0278,0.0079,0.0,0.119,0.3269,0.0,0.0,0.0719,0.0,0.0,0.4061,0.1404,0.0,0.0,0.0126,0.0,0.0,0.1649,0.019,0.0,0.0,0.0,0.0,0.0,0.0193,0.0029,0.0,0.0,0.0,0.0,0.0,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0058,0.0029,0.0029,0.0067,0.0,0.0,0.0287,0.6558,0.0439,0.0149,0.2284,0.019,0.0012,1.0,3420.0
Footscray,0.0,0.003,0.0,0.0,0.0,0.0,0.0042,0.0,0.0039,0.0,0.0,0.0,0.0,0.005,0.0015,0.0307,0.001,0.0011,0.0002,0.0,0.0409,0.005,0.0102,0.0041,0.0042,0.0,0.0,0.03,0.0115,0.0047,0.0017,0.0017,0.0005,0.0,0.0247,0.0464,0.0025,0.0014,0.0067,0.0011,0.0,0.0664,0.1441,0.0026,0.0016,0.022,0.0,0.0,0.1801,0.2553,0.0007,0.0,0.0254,0.0012,0.0,0.2893,0.1597,0.0,0.0,0.0134,0.0003,0.0,0.1835,0.0654,0.0,0.0,0.0034,0.0,0.0,0.0728,0.0265,0.0,0.0,0.0002,0.0,0.0,0.0293,0.0058,0.0,0.0,0.0,0.0,0.0,0.0064,0.0,0.0,0.0,0.0004,0.0,0.0,0.0018,0.0017,0.0,0.0,0.0002,0.0,0.0,0.0022,0.0042,0.0036,0.0002,0.005,0.0002,0.0006,0.0228,0.7581,0.0753,0.0165,0.1262,0.0087,0.001,1.0,12477.0
Frankston,0.0,0.0003,0.0,0.0,0.0,0.0,0.0011,0.0,0.0027,0.0,0.0,0.0,0.0,0.0037,0.0003,0.0359,0.0023,0.0027,0.0009,0.0,0.0484,0.0041,0.0105,0.0025,0.0069,0.0005,0.0,0.0344,0.0112,0.0045,0.0014,0.0052,0.0026,0.0,0.0302,0.0615,0.0037,0.0007,0.0148,0.0013,0.0,0.0918,0.2157,0.0046,0.001,0.0344,0.0,0.0,0.2629,0.2816,0.0024,0.0,0.0239,0.0009,0.0,0.3205,0.085,0.0,0.0,0.0059,0.0,0.0,0.1037,0.017,0.0,0.0,0.0,0.0,0.0,0.0194,0.0036,0.0,0.0,0.0003,0.0,0.0,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0029,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,0.0017,0.0,0.0,0.0,0.0,0.0,0.0025,0.0134,0.0032,0.0,0.0044,0.0008,0.0004,0.0314,0.7286,0.0912,0.0145,0.1368,0.0122,0.0029,1.0,9180.0
Geelong,0.0006,0.0041,0.0,0.0005,0.0,0.0,0.0062,0.0,0.0045,0.0005,0.0,0.0,0.0,0.0064,0.0015,0.0295,0.0027,0.0047,0.0013,0.0005,0.0477,0.0098,0.0089,0.0092,0.0103,0.0014,0.0,0.0558,0.0264,0.004,0.003,0.0105,0.0017,0.0,0.0536,0.063,0.0071,0.0022,0.0127,0.0035,0.0,0.1022,0.1965,0.0056,0.0003,0.0392,0.0026,0.0,0.2535,0.2415,0.0014,0.0021,0.0248,0.0035,0.0003,0.2814,0.0777,0.0,0.0,0.0076,0.0,0.0,0.0909,0.0216,0.0,0.0,0.0007,0.0,0.0,0.0234,0.0073,0.0,0.0,0.0003,0.0,0.0,0.0085,0.0026,0.0,0.0,0.0,0.0,0.0,0.0029,0.0008,0.0,0.0,0.0,0.0,0.0,0.0008,0.0009,0.0,0.0,0.0,0.0,0.0,0.0015,0.0055,0.0039,0.0014,0.0053,0.001,0.0009,0.0265,0.6838,0.0833,0.0281,0.1533,0.023,0.0023,1.0,9585.0
Gippsland East,0.0,0.0027,0.0,0.001,0.0006,0.0,0.0102,0.0,0.0027,0.0,0.0015,0.0006,0.0,0.0079,0.0027,0.0414,0.0046,0.0161,0.0073,0.001,0.0836,0.0249,0.0194,0.0052,0.0282,0.0027,0.0,0.1034,0.0316,0.0054,0.0027,0.0257,0.0031,0.0,0.0915,0.1298,0.0109,0.0027,0.0389,0.001,0.0,0.2056,0.1559,0.0025,0.0008,0.052,0.0044,0.0,0.2365,0.1206,0.0,0.0,0.0127,0.0,0.0,0.1446,0.0088,0.0,0.0,0.0,0.0,0.0,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.005,0.0017,0.0059,0.0021,0.0,0.0384,0.5215,0.1093,0.0353,0.2574,0.042,0.0027,1.0,4786.0
Gippsland South,0.0,0.0026,0.0,0.0019,0.0006,0.0,0.0081,0.0,0.0013,0.0011,0.0006,0.0,0.0,0.0047,0.0021,0.0343,0.0036,0.0127,0.0034,0.0,0.0793,0.0334,0.0111,0.0071,0.0208,0.0034,0.0,0.095,0.0431,0.0058,0.0024,0.0234,0.0009,0.0,0.0901,0.1173,0.0075,0.0028,0.038,0.015,0.0,0.1936,0.1743,0.0021,0.0017,0.027,0.0137,0.0,0.2408,0.1113,0.0,0.0,0.0127,0.0017,0.0,0.1396,0.0154,0.0,0.0,0.0,0.0,0.0,0.0204,0.0009,0.0,0.0,0.0,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0015,0.0034,0.0056,0.0,0.0124,0.0075,0.0,0.0431,0.5491,0.0924,0.0268,0.2346,0.0678,0.0056,1.0,4664.0
Glen Waverley,0.0,0.0014,0.0,0.0,0.0,0.0,0.0027,0.0,0.0006,0.0,0.0,0.0,0.0,0.0006,0.0009,0.0166,0.0,0.0014,0.0,0.0,0.0204,0.0006,0.0044,0.0017,0.0011,0.0,0.0,0.0174,0.0,0.0013,0.0,0.0024,0.0,0.0,0.0049,0.0,0.0006,0.0,0.0011,0.0,0.0,0.0077,0.0115,0.0005,0.0,0.0071,0.0,0.0,0.0311,0.2192,0.0025,0.0008,0.0192,0.0006,0.0005,0.2594,0.2735,0.0,0.0,0.0239,0.0027,0.0,0.3153,0.1399,0.0,0.0,0.003,0.0008,0.0,0.1484,0.0356,0.0,0.0,0.0017,0.0,0.0,0.0419,0.0102,0.0,0.0,0.0,0.0,0.0,0.0111,0.0024,0.0,0.0,0.0,0.0,0.0,0.0024,0.0052,0.0,0.0,0.0008,0.0,0.0,0.0082,0.0057,0.0024,0.0,0.0071,0.0005,0.0005,0.0342,0.7624,0.0411,0.0077,0.157,0.013,0.0025,1.0,6369.0
Greenvale,0.0,0.0021,0.0,0.0006,0.0,0.0,0.0028,0.0,0.0032,0.0,0.0,0.0009,0.0,0.0049,0.0,0.0278,0.0,0.0,0.0,0.0,0.0329,0.0006,0.0156,0.0,0.0017,0.0024,0.0,0.025,0.0,0.0062,0.0,0.0,0.0,0.0,0.0092,0.0021,0.0071,0.0,0.0038,0.0017,0.0,0.0195,0.1011,0.003,0.0004,0.0374,0.013,0.0,0.1743,0.399,0.0096,0.0,0.0549,0.0201,0.0006,0.5078,0.0714,0.0006,0.0,0.0047,0.0006,0.0,0.0954,0.0079,0.0,0.0,0.0,0.0,0.0,0.0088,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0013,0.0066,0.0066,0.0,0.0073,0.0,0.0,0.0396,0.6299,0.1086,0.0056,0.1723,0.0579,0.0032,1.0,4677.0
Hastings,0.0,0.0,0.0,0.0,0.0029,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0228,0.0022,0.0022,0.0,0.0,0.0317,0.0016,0.0117,0.0011,0.0031,0.0018,0.0,0.0264,0.0031,0.0013,0.0011,0.0051,0.0035,0.0,0.0159,0.0173,0.0049,0.0013,0.0124,0.039,0.0,0.0935,0.1378,0.0055,0.0011,0.0403,0.0135,0.0,0.2202,0.2844,0.0007,0.0,0.0456,0.0013,0.0,0.33,0.111,0.0,0.0,0.008,0.002,0.0,0.1251,0.0111,0.0,0.0,0.0,0.0,0.0,0.0122,0.0007,0.0,0.0,0.0,0.0,0.0,0.0007,0.0007,0.0,0.0,0.0,0.0,0.0,0.0007,0.0007,0.0,0.0,0.0,0.0,0.0,0.0007,0.0011,0.0,0.0,0.0,0.0,0.0,0.0018,0.006,0.0064,0.0007,0.0062,0.0018,0.0,0.0399,0.623,0.0844,0.0111,0.1996,0.0802,0.0016,1.0,4515.0
Hawthorn,0.0,0.001,0.0,0.0,0.0,0.0,0.0014,0.0,0.0009,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.0011,0.0007,0.0,0.0,0.0096,0.0038,0.0003,0.001,0.0024,0.0,0.0,0.0125,0.0105,0.0004,0.0012,0.0019,0.0,0.0,0.0175,0.0191,0.0,0.0013,0.0031,0.0003,0.0,0.0283,0.1155,0.0,0.0,0.0131,0.0,0.0,0.1363,0.2649,0.0,0.0,0.0257,0.0003,0.0,0.3003,0.1649,0.0,0.0,0.0162,0.0,0.0,0.1892,0.0737,0.0,0.0,0.0059,0.0,0.0,0.0872,0.0445,0.0,0.0,0.0015,0.0,0.0,0.0526,0.0333,0.0,0.0,0.0006,0.0,0.0,0.0374,0.0208,0.0,0.0,0.0003,0.0,0.0,0.0229,0.0406,0.0,0.0,0.0015,0.0,0.0,0.0461,0.0067,0.0005,0.0,0.0021,0.0,0.0,0.0177,0.8369,0.0119,0.0087,0.1272,0.0063,0.0003,1.0,9819.0
