district,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P,Total_P_total
Cranbourne,6319.0,12960.0,272.0,1834.0,1198.0,5858.0,259.0,1532.0,8280.0,32282.0,10076.0,41423.0,415.0,2083.0,623.0,2378.0,1506.0,4919.0,2609.0,9430.0,12696.0,50819.0,50.0,496.0,197.0,944.0,92.0,569.0,1453.0,4083.0,1979.0,6042.0,127.0,607.0,237.0,695.0,1186.0,2723.0,1611.0,4030.0,3606.0,10152.0,291.0,751.0,23058.0,74627.0,74627.0
Croydon,7504.0,15136.0,56.0,689.0,784.0,3516.0,96.0,787.0,5345.0,20448.0,6389.0,25433.0,535.0,2370.0,704.0,2343.0,1780.0,5836.0,2992.0,10568.0,9450.0,36047.0,9.0,162.0,205.0,764.0,60.0,354.0,1162.0,2858.0,1500.0,4181.0,113.0,543.0,343.0,834.0,1466.0,3235.0,2019.0,4623.0,3536.0,8833.0,238.0,558.0,20725.0,60540.0,60540.0
Dandenong,6708.0,13899.0,224.0,1794.0,977.0,5073.0,201.0,1258.0,5412.0,21338.0,6987.0,29399.0,489.0,2410.0,688.0,2548.0,1978.0,6620.0,3223.0,11615.0,10254.0,41007.0,41.0,453.0,230.0,1107.0,83.0,506.0,1326.0,3650.0,1805.0,5561.0,157.0,843.0,331.0,910.0,1933.0,4647.0,2593.0,6388.0,4444.0,11964.0,501.0,1230.0,21889.0,68092.0,68092.0
Eildon,8081.0,16166.0,73.0,768.0,656.0,3109.0,142.0,884.0,3675.0,14372.0,4656.0,19180.0,323.0,1558.0,499.0,1672.0,1605.0,5134.0,2466.0,8365.0,7121.0,27546.0,4.0,160.0,127.0,589.0,44.0,288.0,813.0,2177.0,1179.0,3245.0,72.0,365.0,157.0,485.0,1047.0,2284.0,1401.0,3129.0,2577.0,6432.0,133.0,349.0,17948.0,50423.0,50423.0
Eltham,6643.0,13311.0,62.0,687.0,978.0,4421.0,81.0,549.0,4943.0,19097.0,6096.0,24712.0,701.0,3076.0,1009.0,3791.0,2104.0,6921.0,3892.0,13804.0,9971.0,38438.0,5.0,77.0,117.0,573.0,8.0,123.0,700.0,1823.0,948.0,2571.0,113.0,536.0,242.0,703.0,964.0,2132.0,1462.0,3339.0,2407.0,5945.0,92.0,338.0,19165.0,58017.0,58017.0
Essendon,7098.0,14090.0,29.0,425.0,728.0,3542.0,21.0,283.0,4344.0,16585.0,5307.0,20847.0,476.0,2252.0,922.0,3411.0,1325.0,4413.0,2791.0,10047.0,8064.0,30894.0,6.0,84.0,115.0,544.0,3.0,105.0,790.0,1866.0,983.0,2560.0,54.0,344.0,289.0,690.0,965.0,2030.0,1378.0,3116.0,2318.0,5702.0,386.0,908.0,17922.0,51595.0,51595.0
Eureka,8009.0,16092.0,76.0,828.0,837.0,3830.0,216.0,1169.0,4861.0,19226.0,6093.0,25033.0,382.0,1655.0,595.0,2057.0,1608.0,4960.0,2551.0,8726.0,8678.0,33789.0,18.0,229.0,211.0,908.0,52.0,452.0,1262.0,3245.0,1673.0,4855.0,84.0,378.0,237.0,688.0,1092.0,2416.0,1548.0,3541.0,3227.0,8334.0,210.0,536.0,20122.0,58663.0,58663.0
Euroa,8542.0,17064.0,93.0,745.0,533.0,2573.0,120.0,860.0,3232.0,12645.0,4035.0,16836.0,254.0,1343.0,407.0,1483.0,1364.0,4479.0,2172.0,7266.0,6265.0,24102.0,14.0,154.0,130.0,628.0,64.0,326.0,991.0,2683.0,1313.0,3837.0,25.0,295.0,186.0,526.0,1181.0,2610.0,1520.0,3392.0,2848.0,7258.0,207.0,498.0,17873.0,48907.0,48907.0
Evelyn,6972.0,14127.0,116.0,941.0,823.0,4035.0,166.0,1084.0,4959.0,19556.0,6287.0,25607.0,606.0,2751.0,702.0,2488.0,2012.0,6724.0,3348.0,11979.0,9650.0,37558.0,7.0,119.0,131.0,610.0,39.0,302.0,802.0,2164.0,1094.0,3165.0,109.0,548.0,198.0,536.0,1081.0,2531.0,1548.0,3607.0,2694.0,6890.0,179.0,425.0,19617.0,59051.0,59051.0
Footscray,7551.0,15220.0,23.0,277.0,559.0,2623.0,38.0,290.0,4946.0,18458.0,5704.0,21607.0,233.0,1359.0,690.0,2369.0,1013.0,3410.0,1986.0,7139.0,7703.0,28787.0,0.0,65.0,103.0,462.0,26.0,207.0,876.0,2109.0,1052.0,2923.0,50.0,375.0,287.0,709.0,1144.0,2460.0,1545.0,3557.0,2649.0,6421.0,509.0,1156.0,18455.0,51529.0,51529.0
