district,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P,Total_P_total
Mill Park,5486.0,11061.0,85.0,848.0,953.0,4637.0,176.0,994.0,4899.0,18866.0,6210.0,25329.0,731.0,3188.0,828.0,2999.0,2314.0,7780.0,3916.0,14044.0,10052.0,39334.0,7.0,187.0,133.0,617.0,70.0,328.0,890.0,2385.0,1235.0,3699.0,113.0,663.0,289.0,739.0,1279.0,2998.0,1805.0,4322.0,3026.0,8021.0,191.0,574.0,18842.0,58948.0,58948.0
Monbulk,6895.0,13966.0,53.0,760.0,810.0,3879.0,129.0,811.0,4612.0,17861.0,5762.0,23289.0,565.0,2585.0,787.0,2639.0,1855.0,5921.0,3178.0,11169.0,8949.0,34489.0,0.0,86.0,108.0,578.0,28.0,247.0,754.0,1988.0,1021.0,2866.0,109.0,482.0,280.0,643.0,1015.0,2243.0,1474.0,3434.0,2527.0,6311.0,120.0,317.0,18657.0,55057.0,55057.0
Mordialloc,6282.0,12707.0,70.0,643.0,1114.0,5031.0,121.0,692.0,5644.0,21690.0,7008.0,28034.0,646.0,2814.0,1154.0,4110.0,1743.0,5601.0,3514.0,12557.0,10554.0,40624.0,6.0,142.0,179.0,690.0,19.0,142.0,894.0,2240.0,1185.0,3170.0,102.0,521.0,374.0,1018.0,1149.0,2471.0,1670.0,3921.0,2899.0,7134.0,200.0,504.0,19951.0,60919.0,60919.0
Mornington,7555.0,15157.0,57.0,542.0,921.0,4288.0,102.0,713.0,4141.0,16559.0,5402.0,22031.0,509.0,2262.0,882.0,3112.0,1387.0,4333.0,2834.0,9790.0,8190.0,31833.0,0.0,110.0,139.0,682.0,29.0,237.0,769.0,1900.0,1039.0,2951.0,72.0,345.0,260.0,660.0,879.0,1918.0,1326.0,2980.0,2348.0,5848.0,101.0,279.0,18268.0,53061.0,53061.0
Morwell,7731.0,15445.0,85.0,784.0,625.0,2922.0,143.0,952.0,3667.0,14319.0,4625.0,18844.0,296.0,1353.0,383.0,1555.0,1447.0,4577.0,2255.0,7494.0,6850.0,26406.0,31.0,268.0,144.0,758.0,106.0,573.0,1595.0,4390.0,2055.0,6073.0,62.0,389.0,239.0,631.0,1422.0,2953.0,1788.0,3964.0,3778.0,10110.0,219.0,573.0,18753.0,52501.0,52501.0
Mulgrave,7066.0,14379.0,52.0,663.0,849.0,4023.0,114.0,765.0,4808.0,18566.0,5906.0,23953.0,541.0,2529.0,953.0,3359.0,2040.0,6709.0,3535.0,12603.0,9528.0,36639.0,10.0,131.0,172.0,796.0,53.0,280.0,825.0,2247.0,1126.0,3459.0,126.0,644.0,362.0,979.0,1578.0,3613.0,2144.0,5195.0,3338.0,8664.0,498.0,1177.0,20418.0,60915.0,60915.0
Murray Plains,8000.0,16022.0,74.0,661.0,619.0,3206.0,117.0,761.0,3320.0,13238.0,4255.0,17968.0,233.0,1187.0,437.0,1505.0,1358.0,4319.0,2058.0,6959.0,6358.0,24886.0,7.0,167.0,173.0,750.0,51.0,350.0,1091.0,2975.0,1371.0,4292.0,45.0,216.0,137.0,446.0,948.0,2006.0,1212.0,2658.0,2685.0,6975.0,192.0,524.0,17255.0,48319.0,48319.0
Narracan,7995.0,16066.0,137.0,1024.0,705.0,3699.0,147.0,949.0,4156.0,16396.0,5266.0,22162.0,370.0,1727.0,511.0,1823.0,1551.0,4865.0,2480.0,8449.0,7751.0,30628.0,20.0,239.0,158.0,723.0,36.0,288.0,1026.0,2823.0,1336.0,4109.0,54.0,327.0,207.0,583.0,919.0,2048.0,1304.0,2973.0,2649.0,7028.0,138.0,422.0,18618.0,54160.0,54160.0
Narre Warren North,6879.0,13777.0,192.0,1638.0,1087.0,5407.0,190.0,1331.0,4993.0,19597.0,6630.0,27999.0,788.0,3483.0,899.0,3337.0,2601.0,8669.0,4310.0,15504.0,10949.0,43581.0,9.0,267.0,102.0,665.0,75.0,424.0,1023.0,2838.0,1414.0,4157.0,132.0,625.0,206.0,681.0,1466.0,3279.0,1904.0,4593.0,3310.0,8767.0,246.0,676.0,21329.0,66794.0,66794.0
Narre Warren South,5550.0,11463.0,372.0,2768.0,1734.0,8565.0,326.0,1709.0,6799.0,27345.0,9344.0,40400.0,905.0,4153.0,1114.0,4030.0,2401.0,8315.0,4484.0,16481.0,13837.0,56859.0,36.0,511.0,250.0,992.0,113.0,618.0,1250.0,3654.0,1753.0,5708.0,168.0,796.0,290.0,821.0,1420.0,3313.0,2003.0,4952.0,3750.0,10596.0,272.0,706.0,23559.0,79686.0,79686.0
Nepean,8846.0,17662.0,52.0,430.0,528.0,2267.0,64.0,575.0,2761.0,10805.0,3455.0,14058.0,210.0,1076.0,418.0,1523.0,1181.0,3773.0,1915.0,6335.0,5354.0,20344.0,0.0,123.0,115.0,496.0,42.0,277.0,901.0,2320.0,1178.0,3228.0,42.0,290.0,205.0,640.0,1077.0,2276.0,1410.0,3219.0,2633.0,6409.0,191.0,407.0,17044.0,44827.0,44827.0
Niddrie,6753.0,13606.0,48.0,516.0,931.0,4239.0,73.0,508.0,4587.0,17586.0,5710.0,22916.0,611.0,2818.0,993.0,3509.0,2091.0,6935.0,3729.0,13309.0,9438.0,36202.0,0.0,107.0,145.0,631.0,21.0,226.0,728.0,1940.0,1068.0,2924.0,148.0,576.0,266.0,769.0,1423.0,3251.0,1953.0,4532.0,2992.0,7538.0,241.0,666.0,19502.0,57958.0,57958.0
Northcote,6893.0,13738.0,9.0,261.0,716.0,3168.0,12.0,202.0,4360.0,16235.0,5176.0,19862.0,319.0,1460.0,844.0,3085.0,1020.0,3344.0,2265.0,7915.0,7443.0,27760.0,0.0,37.0,98.0,473.0,0.0,76.0,732.0,1677.0,877.0,2293.0,47.0,255.0,273.0,673.0,908.0,1977.0,1293.0,2920.0,2198.0,5187.0,262.0,659.0,16865.0,47398.0,47398.0
Oakleigh,8817.0,17923.0,9.0,268.0,790.0,3537.0,41.0,369.0,5743.0,21080.0,6658.0,25336.0,425.0,2021.0,1026.0,3824.0,1482.0,4892.0,3101.0,10733.0,9732.0,35997.0,3.0,42.0,132.0,573.0,9.0,100.0,833.0,1971.0,1092.0,2744.0,57.0,405.0,401.0,999.0,1304.0,2883.0,1833.0,4309.0,2934.0,7075.0,645.0,1432.0,22226.0,62467.0,62467.0
Ovens Valley,8341.0,16562.0,57.0,538.0,556.0,3006.0,93.0,739.0,3251.0,12828.0,4145.0,17220.0,249.0,1258.0,458.0,1509.0,1119.0,3536.0,1877.0,6278.0,6025.0,23493.0,3.0,150.0,125.0,628.0,53.0,301.0,1007.0,2636.0,1336.0,3793.0,10.0,176.0,174.0,409.0,923.0,1958.0,1174.0,2550.0,2561.0,6391.0,129.0,374.0,17050.0,46775.0,46775.0
Pakenham,6431.0,13099.0,126.0,1063.0,952.0,4442.0,236.0,1223.0,6653.0,25885.0,8006.0,32645.0,369.0,1786.0,539.0,2008.0,1194.0,4071.0,2250.0,7909.0,10267.0,40577.0,31.0,350.0,232.0,1034.0,79.0,404.0,1567.0,4236.0,1999.0,6031.0,156.0,641.0,270.0,697.0,1079.0,2587.0,1678.0,3956.0,3660.0,10092.0,269.0,610.0,20633.0,64315.0,64315.0
Pascoe Vale,6684.0,13429.0,80.0,563.0,681.0,3079.0,39.0,328.0,4830.0,18176.0,5734.0,22259.0,425.0,1800.0,694.0,2625.0,1373.0,4478.0,2508.0,8915.0,8224.0,31146.0,0.0,85.0,115.0,477.0,13.0,96.0,849.0,1947.0,1075.0,2659.0,65.0,412.0,259.0,681.0,1140.0,2522.0,1534.0,3657.0,2603.0,6285.0,384.0,875.0,17935.0,51707.0,51707.0
Point Cook,6723.0,13511.0,113.0,1085.0,1366.0,6287.0,198.0,1111.0,9506.0,35980.0,11304.0,44495.0,537.0,2476.0,1052.0,3730.0,1740.0,5726.0,3430.0,12019.0,14758.0,56543.0,0.0,251.0,218.0,996.0,26.0,405.0,1367.0,3634.0,1780.0,5336.0,108.0,594.0,329.0,874.0,1110.0,2593.0,1701.0,4081.0,3524.0,9456.0,255.0,683.0,25211.0,80226.0,80226.0
Polwarth,8414.0,16729.0,69.0,729.0,847.0,3996.0,142.0,823.0,4342.0,17176.0,5485.0,22772.0,311.0,1445.0,622.0,2148.0,1236.0,3920.0,2238.0,7583.0,7790.0,30301.0,3.0,107.0,109.0,594.0,20.0,171.0,862.0,2282.0,1103.0,3118.0,50.0,314.0,141.0,469.0,848.0,1836.0,1141.0,2627.0,2327.0,5769.0,161.0,412.0,18724.0,53251.0,53251.0
Prahran,10399.0,20610.0,0.0,94.0,166.0,851.0,9.0,56.0,2562.0,8973.0,2823.0,10006.0,80.0,455.0,351.0,1353.0,386.0,1276.0,906.0,3081.0,3723.0,13068.0,0.0,37.0,28.0,283.0,0.0,45.0,551.0,1292.0,656.0,1703.0,25.0,148.0,303.0,746.0,607.0,1219.0,964.0,2120.0,1708.0,3809.0,531.0,1122.0,16397.0,38626.0,38626.0
Preston,7313.0,14733.0,59.0,557.0,610.0,2873.0,75.0,559.0,4673.0,17446.0,5464.0,21388.0,370.0,1845.0,549.0,2096.0,1460.0,4750.0,2448.0,8762.0,7980.0,30219.0,3.0,129.0,126.0,563.0,20.0,231.0,977.0,2476.0,1217.0,3411.0,88.0,496.0,260.0,714.0,1609.0,3589.0,2069.0,4827.0,3267.0,8151.0,538.0,1222.0,19130.0,54305.0,54305.0
Richmond,8863.0,17661.0,0.0,87.0,265.0,1246.0,25.0,201.0,2880.0,10428.0,3255.0,11931.0,98.0,590.0,461.0,1587.0,532.0,1684.0,1146.0,3894.0,4333.0,15884.0,3.0,77.0,87.0,374.0,33.0,126.0,700.0,1728.0,890.0,2337.0,17.0,170.0,240.0,614.0,705.0,1580.0,1066.0,2425.0,1963.0,4771.0,479.0,1010.0,15707.0,39400.0,39400.0
Ringwood,7699.0,15542.0,71.0,697.0,983.0,4539.0,61.0,512.0,6226.0,23449.0,7438.0,29248.0,583.0,2426.0,1009.0,3589.0,1442.0,4851.0,3065.0,10888.0,10537.0,40100.0,3.0,92.0,121.0,664.0,3.0,146.0,829.0,2151.0,1146.0,3043.0,131.0,570.0,376.0,1061.0,1263.0,2755.0,1930.0,4415.0,3087.0,7498.0,297.0,754.0,21698.0,63910.0,63910.0
Ripon,8385.0,16739.0,63.0,726.0,707.0,3440.0,158.0,1013.0,3553.0,14533.0,4713.0,19693.0,261.0,1353.0,436.0,1700.0,1404.0,4485.0,2238.0,7457.0,6920.0,27156.0,9.0,173.0,134.0,597.0,57.0,398.0,1069.0,2948.0,1426.0,4157.0,39.0,279.0,165.0,420.0,1046.0,2371.0,1355.0,3009.0,2795.0,7115.0,154.0,534.0,18323.0,51468.0,51468.0
Rowville,6776.0,13694.0,77.0,722.0,996.0,4599.0,109.0,829.0,4669.0,18179.0,6048.0,24365.0,910.0,3811.0,1356.0,4803.0,2668.0,8923.0,4892.0,17541.0,10932.0,41886.0,0.0,108.0,148.0,579.0,4.0,168.0,634.0,1742.0,936.0,2693.0,102.0,511.0,285.0,800.0,1131.0,2532.0,1590.0,3873.0,2556.0,6538.0,140.0,506.0,20497.0,62613.0,62613.0
Sandringham,6930.0,13820.0,41.0,374.0,893.0,4095.0,24.0,288.0,4236.0,16203.0,5293.0,21049.0,485.0,2032.0,1196.0,4343.0,1253.0,3953.0,2888.0,10362.0,8213.0,31454.0,0.0,55.0,161.0,581.0,6.0,47.0,680.0,1568.0,932.0,2247.0,67.0,383.0,391.0,958.0,801.0,1672.0,1368.0,2975.0,2217.0,5276.0,139.0,304.0,17486.0,50808.0,50808.0
Shepparton,7770.0,15442.0,120.0,1082.0,755.0,3884.0,166.0,1117.0,4194.0,16744.0,5425.0,22805.0,282.0,1703.0,476.0,1685.0,1476.0,4753.0,2387.0,8136.0,7743.0,31022.0,17.0,271.0,222.0,965.0,87.0,545.0,1352.0,3815.0,1801.0,5649.0,79.0,423.0,177.0,535.0,1186.0,2505.0,1495.0,3453.0,3398.0,9071.0,209.0,599.0,19115.0,56094.0,56094.0
South Barwon,7431.0,14757.0,40.0,531.0,818.0,3751.0,126.0,791.0,5513.0,21299.0,6585.0,26338.0,371.0,1733.0,771.0,2772.0,1293.0,4078.0,2513.0,8602.0,9027.0,34937.0,6.0,183.0,180.0,816.0,38.0,309.0,957.0,2475.0,1372.0,3756.0,65.0,352.0,269.0,665.0,840.0,1895.0,1242.0,2916.0,2601.0,6617.0,208.0,517.0,19323.0,56895.0,56895.0
South-West Coast,8399.0,16823.0,89.0,810.0,696.0,3147.0,123.0,946.0,3855.0,15148.0,4870.0,20094.0,261.0,1354.0,499.0,1872.0,1440.0,4556.0,2368.0,7791.0,7228.0,27951.0,3.0,173.0,150.0,754.0,39.0,395.0,1161.0,3067.0,1539.0,4319.0,32.0,273.0,221.0,455.0,1102.0,2372.0,1435.0,3117.0,2975.0,7567.0,217.0,603.0,18875.0,52719.0,52719.0
St Albans,5700.0,11717.0,105.0,961.0,761.0,3889.0,173.0,1041.0,3881.0,15384.0,5077.0,21341.0,571.0,2521.0,733.0,2733.0,2147.0,7229.0,3442.0,12494.0,8514.0,33840.0,30.0,440.0,317.0,1228.0,69.0,515.0,1256.0,3472.0,1758.0,5632.0,214.0,832.0,411.0,1124.0,1823.0,4275.0,2473.0,6235.0,4294.0,11873.0,478.0,1172.0,18979.0,58550.0,58550.0
Sunbury,6286.0,12729.0,98.0,692.0,639.0,3210.0,140.0,825.0,4305.0,16467.0,5321.0,21224.0,463.0,2124.0,588.0,2064.0,1776.0,5864.0,2856.0,9958.0,8140.0,31181.0,11.0,199.0,143.0,633.0,32.0,274.0,1002.0,2681.0,1309.0,3793.0,122.0,522.0,252.0,657.0,1330.0,2914.0,1770.0,4121.0,3051.0,7859.0,242.0,558.0,17838.0,52346.0,52346.0
Sydenham,5265.0,10841.0,174.0,1423.0,1387.0,6558.0,203.0,1182.0,5609.0,21995.0,7547.0,31214.0,953.0,4262.0,1199.0,4382.0,2679.0,9188.0,4840.0,17783.0,12366.0,49007.0,34.0,373.0,208.0,839.0,35.0,355.0,969.0,2647.0,1354.0,4248.0,197.0,819.0,254.0,828.0,1246.0,2902.0,1840.0,4612.0,3191.0,8831.0,198.0,509.0,21121.0,69187.0,69187.0
Tarneit,6172.0,12712.0,195.0,1762.0,1313.0,6377.0,179.0,1231.0,9061.0,35095.0,10753.0,44461.0,542.0,2622.0,928.0,3215.0,1719.0,5805.0,3220.0,11687.0,14047.0,56084.0,25.0,444.0,237.0,1124.0,48.0,386.0,1260.0,3610.0,1758.0,5611.0,113.0,734.0,256.0,773.0,1047.0,2533.0,1590.0,3943.0,3335.0,9520.0,363.0,935.0,23990.0,79294.0,79294.0
Thomastown,6220.0,12545.0,123.0,1187.0,925.0,4567.0,157.0,946.0,6356.0,24873.0,7714.0,31643.0,500.0,2307.0,595.0,2092.0,1885.0,6207.0,2984.0,10690.0,10689.0,42305.0,17.0,295.0,148.0,821.0,59.0,438.0,1102.0,3055.0,1510.0,4593.0,149.0,678.0,245.0,709.0,1661.0,3901.0,2119.0,5293.0,3622.0,9956.0,340.0,919.0,20875.0,65631.0,65631.0
Warrandyte,7243.0,14453.0,71.0,719.0,1253.0,5649.0,84.0,623.0,5173.0,20084.0,6664.0,27096.0,807.0,3430.0,1394.0,4968.0,2195.0,7267.0,4417.0,15648.0,11059.0,42845.0,0.0,99.0,125.0,667.0,17.0,199.0,634.0,1773.0,945.0,2727.0,99.0,585.0,284.0,863.0,1000.0,2311.0,1584.0,3777.0,2543.0,6482.0,115.0,366.0,20992.0,64136.0,64136.0
Wendouree,7083.0,14114.0,45.0,560.0,636.0,3161.0,134.0,762.0,3753.0,14595.0,4687.0,19021.0,212.0,1027.0,540.0,1928.0,1150.0,3483.0,1971.0,6428.0,6607.0,25429.0,19.0,245.0,231.0,887.0,83.0,516.0,1566.0,4224.0,2013.0,5867.0,87.0,400.0,324.0,723.0,1274.0,2803.0,1770.0,3971.0,3749.0,9812.0,235.0,660.0,17816.0,50036.0,50036.0
Werribee,6458.0,13186.0,171.0,1231.0,945.0,4587.0,190.0,1076.0,7240.0,27701.0,8655.0,34566.0,420.0,2181.0,681.0,2384.0,1513.0,5120.0,2757.0,9683.0,11342.0,44331.0,42.0,428.0,208.0,1019.0,83.0,618.0,1673.0,4563.0,2135.0,6672.0,120.0,619.0,265.0,833.0,1354.0,3207.0,1906.0,4695.0,4145.0,11325.0,324.0,830.0,22354.0,69682.0,69682.0
Williamstown,6660.0,13273.0,46.0,564.0,762.0,3504.0,41.0,506.0,5191.0,19647.0,6134.0,24192.0,347.0,1632.0,740.0,2782.0,1193.0,3870.0,2381.0,8298.0,8501.0,32514.0,3.0,110.0,155.0,637.0,19.0,183.0,856.0,2071.0,1131.0,2994.0,51.0,361.0,283.0,724.0,1054.0,2303.0,1494.0,3383.0,2590.0,6395.0,300.0,682.0,18092.0,52853.0,52853.0
Yan Yean,5485.0,11155.0,99.0,918.0,1093.0,5138.0,182.0,1156.0,6918.0,27092.0,8422.0,34333.0,524.0,2288.0,665.0,2449.0,1480.0,4964.0,2692.0,9722.0,11185.0,44051.0,11.0,183.0,243.0,1016.0,64.0,423.0,1191.0,3183.0,1642.0,4830.0,136.0,516.0,284.0,672.0,970.0,2219.0,1464.0,3408.0,3114.0,8264.0,147.0,421.0,19994.0,63843.0,63843.0
