district,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot,P_Tot_Tot_total
Albert Park,Null,7.0,1234.0,2391.0,1999.0,1737.0,1267.0,739.0,139.0,9610.0,Null,288.0,2614.0,1352.0,750.0,487.0,179.0,60.0,0.0,5973.0,Null,0.0,4.0,27.0,90.0,90.0,15.0,0.0,0.0,383.0,3732.0,Null,Null,Null,Null,Null,Null,Null,Null,3732.0,Null,1082.0,Null,Null,Null,Null,Null,Null,Null,1082.0,Null,373.0,282.0,43.0,82.0,25.0,0.0,0.0,0.0,955.0,Null,126.0,174.0,32.0,12.0,15.0,21.0,0.0,0.0,558.0,Null,31.0,158.0,26.0,0.0,0.0,0.0,0.0,0.0,275.0,Null,686.0,1688.0,297.0,102.0,59.0,40.0,3.0,4.0,3153.0,Null,378.0,1799.0,1419.0,1115.0,1009.0,638.0,306.0,57.0,6962.0,32.0,47.0,109.0,63.0,28.0,14.0,7.0,3.0,0.0,623.0,3760.0,3273.0,8225.0,5976.0,4469.0,3662.0,2392.0,1223.0,281.0,33341.0,Null,44.0,1656.0,2388.0,2067.0,1577.0,1156.0,508.0,35.0,9475.0,Null,430.0,2701.0,1026.0,628.0,284.0,124.0,8.0,0.0,5398.0,Null,6.0,55.0,320.0,586.0,291.0,70.0,41.0,33.0,1674.0,3571.0,Null,Null,Null,Null,Null,Null,Null,Null,3571.0,Null,1093.0,Null,Null,Null,Null,Null,Null,Null,1093.0,Null,240.0,252.0,34.0,11.0,5.0,0.0,0.0,0.0,783.0,Null,182.0,167.0,24.0,24.0,14.0,25.0,17.0,6.0,724.0,Null,36.0,102.0,8.0,0.0,0.0,0.0,0.0,0.0,219.0,Null,688.0,1418.0,232.0,61.0,7.0,18.0,14.0,0.0,2685.0,Null,465.0,1729.0,1539.0,1173.0,1147.0,939.0,581.0,190.0,7949.0,20.0,63.0,193.0,69.0,40.0,28.0,27.0,11.0,0.0,732.0,3592.0,3525.0,8568.0,5832.0,4683.0,3736.0,2632.0,1343.0,381.0,34412.0,Null,73.0,2851.0,4764.0,4026.0,3351.0,2452.0,1248.0,260.0,19145.0,Null,792.0,5321.0,2434.0,1364.0,851.0,359.0,88.0,5.0,11288.0,Null,6.0,71.0,405.0,737.0,438.0,114.0,54.0,35.0,2099.0,7244.0,Null,Null,Null,Null,Null,Null,Null,Null,7244.0,Null,2169.0,Null,Null,Null,Null,Null,Null,Null,2169.0,Null,707.0,573.0,113.0,125.0,46.0,0.0,0.0,0.0,1770.0,Null,346.0,370.0,77.0,53.0,40.0,40.0,23.0,10.0,1287.0,Null,89.0,268.0,55.0,0.0,0.0,4.0,0.0,0.0,552.0,Null,1430.0,3158.0,600.0,195.0,105.0,110.0,31.0,4.0,5838.0,Null,887.0,3575.0,3022.0,2249.0,2183.0,1653.0,896.0,302.0,14863.0,66.0,157.0,306.0,164.0,101.0,90.0,63.0,24.0,0.0,1351.0,7327.0,6870.0,16734.0,11916.0,9133.0,7377.0,5035.0,2620.0,759.0,67737.0,67737.0
Ashwood,Null,4.0,1270.0,3524.0,3759.0,3144.0,2298.0,1466.0,526.0,15990.0,Null,108.0,847.0,410.0,283.0,207.0,58.0,10.0,0.0,2223.0,Null,0.0,0.0,20.0,127.0,76.0,10.0,12.0,11.0,602.0,6778.0,Null,Null,Null,Null,Null,Null,Null,Null,6778.0,Null,3021.0,Null,Null,Null,Null,Null,Null,Null,3021.0,Null,926.0,1006.0,183.0,165.0,79.0,3.0,0.0,0.0,2597.0,Null,143.0,163.0,21.0,29.0,24.0,49.0,13.0,9.0,751.0,Null,93.0,215.0,36.0,5.0,0.0,3.0,0.0,0.0,566.0,Null,765.0,1037.0,172.0,96.0,50.0,25.0,4.0,0.0,2299.0,Null,117.0,302.0,224.0,259.0,395.0,366.0,253.0,118.0,2439.0,17.0,37.0,34.0,9.0,12.0,8.0,0.0,0.0,0.0,362.0,6829.0,5508.0,5202.0,5039.0,5129.0,4326.0,3056.0,1940.0,827.0,37704.0,Null,10.0,1708.0,3987.0,3925.0,2966.0,2101.0,1186.0,176.0,16118.0,Null,169.0,864.0,401.0,260.0,171.0,37.0,3.0,0.0,2137.0,Null,8.0,47.0,450.0,740.0,487.0,117.0,112.0,76.0,2300.0,6540.0,Null,Null,Null,Null,Null,Null,Null,Null,6540.0,Null,2928.0,Null,Null,Null,Null,Null,Null,Null,2928.0,Null,772.0,716.0,83.0,84.0,50.0,7.0,0.0,0.0,1964.0,Null,126.0,97.0,17.0,20.0,113.0,149.0,124.0,57.0,1074.0,Null,101.0,124.0,7.0,8.0,0.0,0.0,0.0,0.0,348.0,Null,495.0,470.0,78.0,33.0,54.0,34.0,8.0,0.0,1320.0,Null,69.0,233.0,184.0,255.0,550.0,727.0,867.0,495.0,3672.0,30.0,73.0,41.0,27.0,3.0,20.0,0.0,3.0,0.0,436.0,6610.0,4992.0,4645.0,5477.0,5644.0,4700.0,3443.0,2372.0,1020.0,38990.0,Null,35.0,2978.0,7526.0,7657.0,6077.0,4375.0,2638.0,737.0,32163.0,Null,297.0,1803.0,871.0,616.0,444.0,162.0,18.0,0.0,4376.0,Null,8.0,47.0,496.0,991.0,613.0,189.0,146.0,122.0,2895.0,13343.0,Null,Null,Null,Null,Null,Null,Null,Null,13343.0,Null,5971.0,Null,Null,Null,Null,Null,Null,Null,5971.0,Null,1727.0,1771.0,384.0,315.0,176.0,19.0,0.0,0.0,4526.0,Null,335.0,352.0,56.0,47.0,188.0,216.0,167.0,98.0,1821.0,Null,210.0,413.0,53.0,25.0,9.0,3.0,0.0,0.0,916.0,Null,1270.0,1542.0,309.0,164.0,151.0,101.0,21.0,0.0,3700.0,Null,235.0,594.0,483.0,562.0,1020.0,1103.0,1173.0,745.0,6054.0,75.0,159.0,113.0,60.0,27.0,71.0,16.0,12.0,0.0,849.0,13444.0,10531.0,9890.0,10479.0,10735.0,8991.0,6424.0,4396.0,1846.0,76727.0,76727.0
Bass,Null,3.0,1082.0,1986.0,2005.0,2390.0,2641.0,1348.0,193.0,11855.0,Null,170.0,1035.0,583.0,475.0,436.0,186.0,24.0,3.0,3261.0,Null,0.0,18.0,48.0,138.0,56.0,32.0,6.0,5.0,507.0,5500.0,Null,Null,Null,Null,Null,Null,Null,Null,5500.0,Null,1088.0,Null,Null,Null,Null,Null,Null,Null,1088.0,Null,1181.0,543.0,190.0,87.0,20.0,6.0,0.0,0.0,2217.0,Null,91.0,65.0,29.0,14.0,24.0,30.0,9.0,7.0,550.0,Null,25.0,67.0,6.0,13.0,6.0,3.0,6.0,0.0,264.0,Null,73.0,107.0,36.0,59.0,72.0,70.0,15.0,0.0,640.0,Null,13.0,256.0,257.0,390.0,728.0,758.0,411.0,136.0,3184.0,27.0,23.0,60.0,30.0,36.0,87.0,58.0,28.0,0.0,590.0,5554.0,2894.0,3580.0,3510.0,3575.0,4078.0,4036.0,1997.0,462.0,29756.0,Null,21.0,1539.0,2123.0,2083.0,2635.0,2392.0,1007.0,90.0,12031.0,Null,311.0,1105.0,600.0,499.0,433.0,152.0,14.0,9.0,3305.0,Null,15.0,269.0,436.0,558.0,222.0,83.0,43.0,15.0,1996.0,5261.0,Null,Null,Null,Null,Null,Null,Null,Null,5261.0,Null,1184.0,Null,Null,Null,Null,Null,Null,Null,1184.0,Null,794.0,296.0,40.0,49.0,22.0,0.0,0.0,0.0,1423.0,Null,48.0,24.0,6.0,13.0,66.0,92.0,62.0,38.0,564.0,Null,39.0,27.0,0.0,9.0,4.0,0.0,0.0,0.0,205.0,Null,66.0,90.0,14.0,46.0,75.0,67.0,15.0,0.0,566.0,Null,31.0,162.0,144.0,317.0,740.0,998.0,711.0,266.0,3594.0,25.0,56.0,43.0,20.0,8.0,55.0,52.0,6.0,3.0,581.0,5317.0,2930.0,3880.0,3660.0,3753.0,4528.0,4110.0,2046.0,552.0,30742.0,Null,43.0,2642.0,4135.0,4072.0,5014.0,5045.0,2342.0,399.0,23793.0,Null,550.0,2165.0,1267.0,1049.0,900.0,416.0,98.0,6.0,6576.0,Null,23.0,309.0,544.0,703.0,324.0,146.0,67.0,29.0,2476.0,10744.0,Null,Null,Null,Null,Null,Null,Null,Null,10744.0,Null,2306.0,Null,Null,Null,Null,Null,Null,Null,2306.0,Null,2049.0,951.0,264.0,178.0,71.0,6.0,0.0,0.0,3585.0,Null,181.0,128.0,39.0,55.0,121.0,173.0,85.0,45.0,1198.0,Null,95.0,152.0,12.0,36.0,21.0,3.0,13.0,0.0,515.0,Null,144.0,229.0,86.0,127.0,184.0,177.0,52.0,10.0,1245.0,Null,61.0,467.0,461.0,698.0,1504.0,1799.0,1131.0,472.0,6776.0,94.0,116.0,150.0,60.0,57.0,152.0,151.0,34.0,3.0,1191.0,10865.0,5874.0,7438.0,7149.0,7289.0,8605.0,8139.0,4094.0,1064.0,60523.0,60523.0
Bayswater,Null,0.0,1397.0,3246.0,2586.0,2367.0,2311.0,1277.0,245.0,13447.0,Null,160.0,1164.0,610.0,452.0,271.0,113.0,11.0,0.0,2923.0,Null,0.0,8.0,87.0,178.0,115.0,18.0,4.0,4.0,646.0,6240.0,Null,Null,Null,Null,Null,Null,Null,Null,6240.0,Null,1798.0,Null,Null,Null,Null,Null,Null,Null,1798.0,Null,1233.0,1123.0,358.0,263.0,52.0,0.0,0.0,0.0,3185.0,Null,128.0,127.0,46.0,32.0,46.0,46.0,18.0,7.0,713.0,Null,44.0,136.0,30.0,19.0,0.0,0.0,0.0,0.0,418.0,Null,133.0,355.0,95.0,72.0,82.0,42.0,3.0,0.0,1033.0,Null,9.0,321.0,388.0,492.0,510.0,424.0,247.0,117.0,2857.0,30.0,27.0,48.0,29.0,20.0,15.0,0.0,0.0,0.0,385.0,6323.0,3865.0,4900.0,5190.0,4336.0,3787.0,3217.0,1811.0,477.0,33928.0,Null,33.0,1896.0,3404.0,2566.0,2341.0,2183.0,953.0,72.0,13576.0,Null,226.0,1274.0,585.0,405.0,198.0,35.0,4.0,5.0,2990.0,Null,15.0,244.0,557.0,873.0,558.0,216.0,119.0,35.0,2852.0,5950.0,Null,Null,Null,Null,Null,Null,Null,Null,5950.0,Null,1817.0,Null,Null,Null,Null,Null,Null,Null,1817.0,Null,950.0,683.0,124.0,74.0,33.0,0.0,0.0,0.0,2053.0,Null,61.0,103.0,20.0,27.0,111.0,118.0,98.0,26.0,931.0,Null,68.0,56.0,11.0,0.0,0.0,0.0,0.0,0.0,258.0,Null,84.0,179.0,51.0,43.0,46.0,28.0,10.0,0.0,733.0,Null,31.0,296.0,328.0,344.0,647.0,938.0,680.0,280.0,3792.0,21.0,44.0,44.0,9.0,27.0,9.0,14.0,0.0,4.0,437.0,5981.0,3719.0,5042.0,5372.0,4491.0,4209.0,3867.0,2018.0,634.0,35431.0,Null,69.0,3338.0,6719.0,5111.0,4728.0,4554.0,2223.0,391.0,27004.0,Null,421.0,2457.0,1233.0,876.0,576.0,218.0,35.0,9.0,5930.0,Null,20.0,277.0,666.0,1078.0,725.0,356.0,169.0,46.0,3589.0,12246.0,Null,Null,Null,Null,Null,Null,Null,Null,12246.0,Null,3677.0,Null,Null,Null,Null,Null,Null,Null,3677.0,Null,2234.0,1815.0,582.0,336.0,120.0,0.0,0.0,0.0,5226.0,Null,239.0,281.0,105.0,78.0,189.0,218.0,152.0,48.0,1675.0,Null,165.0,242.0,49.0,26.0,0.0,0.0,0.0,0.0,705.0,Null,230.0,615.0,229.0,159.0,213.0,108.0,30.0,0.0,1892.0,Null,43.0,677.0,754.0,876.0,1225.0,1426.0,1058.0,456.0,6602.0,94.0,101.0,141.0,46.0,47.0,44.0,22.0,0.0,4.0,825.0,12368.0,7522.0,9993.0,10562.0,8835.0,7968.0,7120.0,3857.0,1160.0,69350.0,69350.0
Bellarine,Null,4.0,786.0,2173.0,2403.0,2801.0,3540.0,1757.0,344.0,13795.0,Null,83.0,834.0,628.0,490.0,354.0,257.0,49.0,0.0,2915.0,Null,0.0,3.0,60.0,117.0,100.0,19.0,8.0,6.0,536.0,5754.0,Null,Null,Null,Null,Null,Null,Null,Null,5754.0,Null,1436.0,Null,Null,Null,Null,Null,Null,Null,1436.0,Null,1193.0,573.0,155.0,73.0,27.0,3.0,0.0,0.0,2265.0,Null,48.0,59.0,31.0,33.0,25.0,28.0,0.0,5.0,366.0,Null,23.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0,147.0,Null,74.0,130.0,44.0,34.0,29.0,40.0,3.0,0.0,546.0,Null,19.0,142.0,211.0,346.0,532.0,593.0,379.0,139.0,2573.0,41.0,41.0,51.0,9.0,24.0,20.0,45.0,11.0,3.0,524.0,5825.0,3099.0,2904.0,3558.0,3805.0,4128.0,4630.0,2375.0,582.0,30980.0,Null,3.0,1077.0,2388.0,2601.0,2979.0,3298.0,1353.0,149.0,13921.0,Null,186.0,936.0,646.0,535.0,412.0,199.0,32.0,0.0,3083.0,Null,6.0,181.0,455.0,655.0,317.0,66.0,50.0,35.0,2072.0,5413.0,Null,Null,Null,Null,Null,Null,Null,Null,5413.0,Null,1557.0,Null,Null,Null,Null,Null,Null,Null,1557.0,Null,718.0,314.0,59.0,53.0,22.0,5.0,0.0,0.0,1393.0,Null,22.0,34.0,15.0,16.0,70.0,45.0,47.0,35.0,484.0,Null,30.0,17.0,0.0,5.0,3.0,0.0,0.0,0.0,153.0,Null,92.0,82.0,25.0,10.0,62.0,70.0,22.0,0.0,541.0,Null,15.0,132.0,168.0,289.0,893.0,1182.0,903.0,406.0,4283.0,17.0,30.0,38.0,11.0,17.0,60.0,26.0,13.0,0.0,500.0,5445.0,2936.0,3104.0,4012.0,4389.0,5082.0,5018.0,2656.0,779.0,33502.0,Null,20.0,1896.0,4578.0,5017.0,5696.0,6796.0,3163.0,534.0,27702.0,Null,311.0,1791.0,1336.0,1070.0,846.0,464.0,130.0,8.0,6063.0,Null,9.0,186.0,563.0,836.0,467.0,122.0,66.0,49.0,2576.0,11148.0,Null,Null,Null,Null,Null,Null,Null,Null,11148.0,Null,3014.0,Null,Null,Null,Null,Null,Null,Null,3014.0,Null,1896.0,952.0,262.0,196.0,64.0,8.0,0.0,0.0,3612.0,Null,116.0,109.0,57.0,49.0,131.0,83.0,58.0,43.0,883.0,Null,105.0,85.0,8.0,5.0,3.0,0.0,0.0,0.0,333.0,Null,197.0,260.0,83.0,70.0,153.0,138.0,43.0,7.0,1113.0,Null,84.0,302.0,424.0,727.0,1369.0,1816.0,1338.0,631.0,6833.0,84.0,89.0,130.0,58.0,68.0,101.0,118.0,58.0,3.0,1073.0,11267.0,6058.0,5994.0,7557.0,8179.0,9192.0,9715.0,5071.0,1435.0,64462.0,64462.0
Benambra,Null,3.0,981.0,1926.0,2155.0,2490.0,2307.0,1163.0,193.0,11345.0,Null,287.0,1044.0,550.0,541.0,387.0,152.0,19.0,0.0,3184.0,Null,0.0,10.0,101.0,122.0,59.0,13.0,13.0,0.0,590.0,5969.0,Null,Null,Null,Null,Null,Null,Null,Null,5969.0,Null,1198.0,Null,Null,Null,Null,Null,Null,Null,1198.0,Null,1217.0,499.0,154.0,109.0,36.0,0.0,0.0,0.0,2117.0,Null,102.0,88.0,15.0,8.0,27.0,20.0,18.0,7.0,461.0,Null,48.0,82.0,7.0,0.0,0.0,5.0,0.0,0.0,302.0,Null,126.0,166.0,28.0,50.0,70.0,49.0,4.0,0.0,693.0,Null,65.0,372.0,245.0,411.0,675.0,685.0,342.0,75.0,3177.0,39.0,62.0,49.0,49.0,27.0,12.0,31.0,3.0,0.0,506.0,6022.0,3350.0,3475.0,3460.0,3767.0,3928.0,3515.0,1696.0,399.0,29782.0,Null,23.0,1289.0,2216.0,2289.0,2561.0,2136.0,853.0,65.0,11535.0,Null,361.0,1049.0,643.0,518.0,365.0,99.0,19.0,0.0,3221.0,Null,48.0,445.0,599.0,606.0,216.0,101.0,76.0,11.0,2343.0,5925.0,Null,Null,Null,Null,Null,Null,Null,Null,5925.0,Null,1305.0,Null,Null,Null,Null,Null,Null,Null,1305.0,Null,743.0,224.0,59.0,26.0,3.0,0.0,0.0,0.0,1225.0,Null,78.0,39.0,7.0,18.0,77.0,52.0,17.0,11.0,534.0,Null,74.0,14.0,0.0,0.0,0.0,6.0,0.0,0.0,163.0,Null,94.0,80.0,10.0,20.0,54.0,18.0,4.0,0.0,526.0,Null,86.0,241.0,209.0,392.0,794.0,914.0,712.0,295.0,3848.0,42.0,42.0,8.0,37.0,9.0,18.0,27.0,3.0,0.0,512.0,6001.0,3113.0,3646.0,3982.0,4076.0,4397.0,3719.0,1861.0,547.0,31295.0,Null,80.0,2339.0,4200.0,4442.0,4950.0,4480.0,2053.0,312.0,22870.0,Null,661.0,2041.0,1185.0,1105.0,790.0,332.0,67.0,10.0,6448.0,Null,57.0,489.0,749.0,787.0,339.0,142.0,103.0,37.0,2969.0,11858.0,Null,Null,Null,Null,Null,Null,Null,Null,11858.0,Null,2625.0,Null,Null,Null,Null,Null,Null,Null,2625.0,Null,1921.0,775.0,250.0,194.0,68.0,0.0,0.0,0.0,3360.0,Null,207.0,126.0,48.0,37.0,135.0,110.0,56.0,17.0,1017.0,Null,150.0,129.0,26.0,17.0,5.0,15.0,0.0,0.0,470.0,Null,265.0,285.0,57.0,119.0,168.0,125.0,16.0,0.0,1314.0,Null,183.0,655.0,577.0,902.0,1474.0,1628.0,1038.0,448.0,7001.0,92.0,154.0,108.0,107.0,70.0,83.0,98.0,13.0,4.0,1140.0,12029.0,6489.0,7181.0,7428.0,7893.0,8271.0,7217.0,3631.0,986.0,61098.0,61098.0
