district,census_variable,value
Albert Park,M_15_19y_DUDW_LT_5_h_n,485.0
Ashwood,M_15_19y_DUDW_LT_5_h_n,1259.0
Bass,M_15_19y_DUDW_LT_5_h_n,716.0
Bayswater,M_15_19y_DUDW_LT_5_h_n,896.0
Bellarine,M_15_19y_DUDW_LT_5_h_n,935.0
Benambra,M_15_19y_DUDW_LT_5_h_n,929.0
Bendigo East,M_15_19y_DUDW_LT_5_h_n,1042.0
Bendigo West,M_15_19y_DUDW_LT_5_h_n,752.0
Bentleigh,M_15_19y_DUDW_LT_5_h_n,1212.0
Berwick,M_15_19y_DUDW_LT_5_h_n,1289.0
Box Hill,M_15_19y_DUDW_LT_5_h_n,1198.0
Brighton,M_15_19y_DUDW_LT_5_h_n,1076.0
Broadmeadows,M_15_19y_DUDW_LT_5_h_n,567.0
Brunswick,M_15_19y_DUDW_LT_5_h_n,512.0
Bulleen,M_15_19y_DUDW_LT_5_h_n,969.0
Bundoora,M_15_19y_DUDW_LT_5_h_n,860.0
Carrum,M_15_19y_DUDW_LT_5_h_n,832.0
Caulfield,M_15_19y_DUDW_LT_5_h_n,879.0
Clarinda,M_15_19y_DUDW_LT_5_h_n,775.0
Cranbourne,M_15_19y_DUDW_LT_5_h_n,764.0
Croydon,M_15_19y_DUDW_LT_5_h_n,942.0
Dandenong,M_15_19y_DUDW_LT_5_h_n,627.0
Eildon,M_15_19y_DUDW_LT_5_h_n,884.0
Eltham,M_15_19y_DUDW_LT_5_h_n,1253.0
Essendon,M_15_19y_DUDW_LT_5_h_n,880.0
Eureka,M_15_19y_DUDW_LT_5_h_n,999.0
Euroa,M_15_19y_DUDW_LT_5_h_n,821.0
Evelyn,M_15_19y_DUDW_LT_5_h_n,993.0
Footscray,M_15_19y_DUDW_LT_5_h_n,563.0
Frankston,M_15_19y_DUDW_LT_5_h_n,790.0
Geelong,M_15_19y_DUDW_LT_5_h_n,829.0
Gippsland East,M_15_19y_DUDW_LT_5_h_n,707.0
Gippsland South,M_15_19y_DUDW_LT_5_h_n,816.0
Glen Waverley,M_15_19y_DUDW_LT_5_h_n,1244.0
Greenvale,M_15_19y_DUDW_LT_5_h_n,751.0
Hastings,M_15_19y_DUDW_LT_5_h_n,951.0
Hawthorn,M_15_19y_DUDW_LT_5_h_n,1196.0
Ivanhoe,M_15_19y_DUDW_LT_5_h_n,903.0
Kalkallo,M_15_19y_DUDW_LT_5_h_n,768.0
Kew,M_15_19y_DUDW_LT_5_h_n,1474.0
Kororoit,M_15_19y_DUDW_LT_5_h_n,868.0
Lara,M_15_19y_DUDW_LT_5_h_n,840.0
Laverton,M_15_19y_DUDW_LT_5_h_n,583.0
Lowan,M_15_19y_DUDW_LT_5_h_n,835.0
Macedon,M_15_19y_DUDW_LT_5_h_n,1010.0
Malvern,M_15_19y_DUDW_LT_5_h_n,812.0
Melbourne,M_15_19y_DUDW_LT_5_h_n,742.0
Melton,M_15_19y_DUDW_LT_5_h_n,768.0
Mildura,M_15_19y_DUDW_LT_5_h_n,756.0
Mill Park,M_15_19y_DUDW_LT_5_h_n,812.0
Monbulk,M_15_19y_DUDW_LT_5_h_n,1189.0
Mordialloc,M_15_19y_DUDW_LT_5_h_n,1083.0
Mornington,M_15_19y_DUDW_LT_5_h_n,1088.0
